t,price,births,fertility_rate,young_share,old_share,theta,average_age,n_home,young_homeownership_proxy,old_homeownership_proxy,aggregate_homeownership_proxy,age_share_15,age_share_25,age_share_35,age_share_45,age_share_55,age_share_65,age_share_75,age_share_85,boom_generation_age,boom_generation_homeownership_proxy_level,boom_generation_housing_burden_proxy_level,parent_generation_age,parent_generation_homeownership_proxy_level,parent_generation_housing_burden_proxy_level,child_generation_age,child_generation_homeownership_proxy_level,child_generation_housing_burden_proxy_level,price_index,case
37,-0.6084633412629303,0.08934796189288825,0.24846952808190167,0.19981688000824194,0.4405898830156853,0.8961312848624152,53.59895278045974,0.1788035907439146,0.46721451062768854,0.7429755887274828,0.557379847051566,0.09688428863322038,0.10293259137502156,0.11103391847844563,0.11977809202225762,0.1287812264753696,0.13813149583572182,0.14743052169254384,0.15502786548741965,37.0,0.5030704463821725,0.5606595168624854,62.0,0.751208253071833,0.5449742258969528,12.0,,,0.5441864557761363,baseline
38,-0.6056931733952745,0.08928932665454596,0.24833190574856176,0.19976178994368501,0.44068180756588277,0.8988468710670645,53.60269950496654,0.178733079849016,0.4668379408547745,0.742926456536788,0.5573017304096222,0.09684663690121093,0.10291515304247409,0.11101352191533248,0.11975086003074584,0.12879202054435393,0.138193509194461,0.14747854321839612,0.15500975515302567,38.0,0.5065764843098228,0.5617779648161746,63.0,0.7559076199727105,0.5462225474560461,13.0,,,0.5456960335364902,baseline
39,-0.6024968205340533,0.08921891781635732,0.248173205200767,0.19966729415910456,0.4408300844995582,0.9019025880620367,53.60992943048346,0.17863728854743421,0.4664069425474448,0.7428684824945211,0.557206472863066,0.09678747044029128,0.10287982371881327,0.11099974899169128,0.11973429279359785,0.12876857955604812,0.13821136080815005,0.14755144513944282,0.15506727855196534,39.0,0.5100373686413227,0.5631361670047169,64.0,0.760643486911548,0.5477070618594483,14.0,,,0.5474430611856538,baseline
40,-0.5988256905592162,0.08914830997612597,0.24799105685946066,0.19955593643884156,0.4409621084249806,0.9040488356731886,53.61801511751042,0.1785082444709033,0.465912241426119,0.7427971996730235,0.5570861899155917,0.09672463139338905,0.10283130504545251,0.11097711342188767,0.11973612792455977,0.12876871378973045,0.1382054698765051,0.1475910782926422,0.15516556025583336,40.0,0.513454307042427,0.5647627910048468,65.0,0.76541870233435,0.5494564893340229,15.0,0.020595361120764592,0.5494564893340229,0.5494564893340229,baseline
41,-0.5948085342346371,0.08907444553161865,0.24779189310886565,0.19944903701835404,0.44107816339136874,0.9061922672270497,53.625245842524755,0.1783672277924833,0.4653693224460511,0.7427195723275294,0.5569563307831115,0.09666573083654688,0.10278330618180714,0.11094503015780995,0.11973356936368582,0.12879420006878145,0.13823084938338023,0.1476117355839556,0.15523557842403293,41.0,0.5168473852538227,0.5665891860730755,66.0,0.7621055202591475,0.551668181327199,16.0,0.05622362083036789,0.5521108607889005,0.551668181327199,baseline
42,-0.5904434156708346,0.08898849368215721,0.24757565931270142,0.19933737941946877,0.44122302975322825,0.9088027531668782,53.632963909441784,0.17822275550774463,0.4647787459858933,0.7426379605317238,0.5568233474293987,0.09660067299079758,0.10273670642867119,0.1109105064608909,0.11971758781874563,0.1288114965476666,0.13827973069497176,0.14766182493583277,0.15528147412242368,42.0,0.5202218336423298,0.5686191329604988,67.0,0.7587869263026239,0.5540815418168413,17.0,0.09372206964729178,0.5549698166750131,0.5540815418168413,baseline
43,-0.5856628731220914,0.08889031315851507,0.24733906324180782,0.19920362920697177,0.4414098994712192,0.9116145510286331,53.64276088870306,0.17806293921377586,0.46413304775636816,0.7425488953855115,0.5566795425281357,0.09652132023725181,0.10268230896971994,0.11087614499754171,0.11969752412343887,0.12881280220082844,0.13831816499102956,0.14773525758460349,0.15535647689558618,43.0,0.5235766774752569,0.5708923756332681,68.0,0.755463139197291,0.5567366936795531,18.0,0.1328470837039167,0.5580739346358975,0.5567366936795531,baseline
44,-0.5804391661786377,0.08878522777721712,0.24708079282178927,0.19905030927237768,0.44161286505515984,0.9141148315917464,53.65399531326693,0.17787880684067228,0.46342843428354685,0.7424502048673521,0.5565189751544175,0.09643300595023184,0.10261730332214584,0.11083833033338175,0.1196830000088279,0.12881549533025283,0.13834564450186682,0.14780418039209553,0.15546304016119747,44.0,0.5269155573219597,0.5734270991402837,69.0,0.7521348122250332,0.5596525321243692,19.0,0.173319504601322,0.5614425302631947,0.5596525321243692,baseline
45,-0.5748170928988966,0.08867457378898391,0.24680312769176255,0.19888810510027466,0.441819147606298,0.9162694424690689,53.665669241212896,0.17767554093573218,0.4626698171860245,0.7423433856176398,0.5563458942397683,0.0963411358642249,0.10254696923604976,0.11079361364319809,0.11966967314725445,0.12882946050297475,0.1383803266967765,0.1478675137053518,0.15557130720416967,45.0,0.5302488342050763,0.5762014520543371,70.0,0.7488031564505594,0.5628078009365077,20.0,0.21483615752024648,0.5650547485922008,0.5628078009365077,baseline
46,-0.5688455517782209,0.08855561570573414,0.24650854463311825,0.19871755384002274,0.44204290808419755,0.9184736697972693,53.67798162739163,0.17745980156620103,0.46186380712951414,0.7422307135258422,0.5561656853488854,0.09624393203788702,0.10247362180213572,0.11074398782592629,0.119649821851384,0.12884572839846953,0.1384282188028924,0.14793973284645323,0.1556749564348519,46.0,0.5487741728877835,0.5785674086819127,71.0,0.745469341812329,0.5661786855338865,21.0,0.2570805116116984,0.5688871657359755,0.5661786855338865,baseline
