year,scenario,share_25_39,share_40_59,share_60_79,share_80,average_age,price,price_index,births,fertility_rate,theta,average_age_bridge,young_homeownership_proxy,old_homeownership_proxy,young_housing_burden_proxy
2024,medium_immigration,0.317096373440077,0.370125718455318,0.305979674440901,0.0067982336637039,49.9030447017209,0.4765586508437991,0.904339992326136,0.08192543359640428,0.19999968992735337,0.4339356612781329,50.27775308035964,0.4118453339194952,0.7609158159747597,0.9249215268024116
2025,medium_immigration,0.316669956768509,0.366814051836025,0.309529030457215,0.0069869609382504,49.9991965204611,0.47216980531811714,0.9003796807519332,0.08174629020539076,0.2001753205464975,0.4373638987406426,50.36195867431201,0.4124088946576933,0.7609557352723797,0.9208276343114848
2026,medium_immigration,0.315405146575553,0.367275201701207,0.309943975144682,0.0073756765785582,50.0555088217958,0.47499208990484476,0.9029243977157371,0.08147018473465938,0.20006236208522477,0.4382769145645833,50.4042475734675,0.41204646566532754,0.7609300653518857,0.923385976327231
2027,medium_immigration,0.314152846255314,0.367731793510943,0.310354811399298,0.0077605488344443,50.1112642016156,0.47785348165780306,0.9055117180441103,0.08119600327023314,0.19994790348084962,0.439180897272071,50.446118157968485,0.4116791119963727,0.7609040378045775,0.9259752741139763
2028,medium_immigration,0.31291286975059,0.368183890123625,0.310761606382266,0.0081416337435197,50.1664709200201,0.4807526087388396,0.9081407206530344,0.08092373626534713,0.1998320022089928,0.4400759856506187,50.48757673618738,0.4113070141095359,0.7608776650306374,0.9285950050195728
2029,medium_immigration,0.311685029471742,0.36863156185936,0.311164419486225,0.008518989182673,50.2211372148837,0.483641610480845,0.9107681342507791,0.08065412382209497,0.19971657255935202,0.4409623133812469,50.52862954404055,0.41093631666638114,0.760851382380606,0.931213190696611
2030,medium_immigration,0.310469154526731,0.369074865552124,0.311563312846218,0.0088926670749281,50.2752709214009,0.48652015160769224,0.9133935947173268,0.0803871343601708,0.199601627176463,0.4418400087500219,50.56928239849192,0.41056706200225307,0.7608251929258736,0.9338295551590708
2031,medium_immigration,0.308862022578101,0.371617612480378,0.310361993470815,0.0091583714707055,50.2937749848994,0.4933727150782943,0.9196741767655783,0.08008340175064423,0.19932825798341441,0.4412390250606533,50.58148480415603,0.4096884322087994,0.7607628392304974,0.9401828201791668
2032,medium_immigration,0.307268065172471,0.374139508032562,0.309170530809959,0.009421895985008,50.3121276170529,0.5002201600000262,0.9259932049453617,0.07978201681655513,0.1990554669646198,0.44064297433959965,50.593587303223686,0.408811034254057,0.7607005209799983,0.9465701126291785
2033,medium_immigration,0.305687127768889,0.376640808727302,0.307988793612055,0.0096832698917533,50.3303301387043,0.5070632183924317,0.9323515610065638,0.07948294122266103,0.1987832236680389,0.44005178798809413,50.60559086798398,0.4079347783447833,0.7606382315361433,0.9529921997844223
2034,medium_immigration,0.304119055088015,0.379121755849189,0.30681667356398,0.0099425154988161,50.3483845526336,0.513882745988667,0.9387314875233497,0.07918645082321385,0.19851228694019413,0.4394654118933143,50.61749672995323,0.40706211751696336,0.7605761452296352,0.9594358720588088
2035,medium_immigration,0.302563674614341,0.381582608989884,0.305654053415348,0.0101996629804273,50.3662931450651,0.5206789216026664,0.9451329998284561,0.07889250970362352,0.19824264536214345,0.4388837935640466,50.62930648345904,0.40619302798629026,0.7605142605469714,0.9659011829105933
2036,medium_immigration,0.301506749844363,0.38386374568941,0.304192906341232,0.0104365981249948,50.3808217971257,0.526370563544333,0.9505276962275474,0.07870639205140326,0.19801710852299678,0.4379405415429497,50.625806247360615,0.4054656368721738,0.7604624251067743,0.9713372552505439
2037,medium_immigration,0.300454657865201,0.386134444698115,0.302738447488792,0.0106724499478928,50.395284061859,0.5319941779598594,0.9558881559345961,0.07852210386183661,0.19779451934882814,0.4370016090132362,50.622322160545586,0.40474734699070575,0.7604112016653302,0.976751971668276
2038,medium_immigration,0.299407381998172,0.388394776118146,0.30129061698055,0.0109072249031326,50.4096799558222,0.5375495636835694,0.9612132611609006,0.07833963897164284,0.1975748764217382,0.43606695039558857,50.61885351418856,0.404038172115823,0.7603605923280152,0.9821443475533608
2039,medium_immigration,0.29836485735813,0.39064482269919,0.299849390936088,0.0111409290065918,50.4240107653401,0.5430909795686603,0.966554529020558,0.07815813110344343,0.19735602880496525,0.43513655934469236,50.615401149655526,0.4033311796888386,0.7603101029622684,0.987553178618446
2040,medium_immigration,0.297327083700321,0.392884634819615,0.298414708990492,0.0113735724895724,50.4382761950703,0.5486188950017095,0.9719123558816792,0.07797757196307659,0.19713795588855482,0.4342103907770098,50.6119641759862,0.4026263095595516,0.7602597293459039,0.9929787588393906
2041,medium_immigration,0.296284625460294,0.393995467696537,0.298292930215669,0.0114269766274991,50.4586805105836,0.5524008320644498,0.97559502666724,0.0777679657448333,0.19698889959944224,0.43430522233980723,50.62940044589691,0.4021443023805171,0.7602252619357426,0.9966926752223222
2042,medium_immigration,0.295246356326899,0.395101856407939,0.298171621409823,0.0114801658553389,50.4790025297447,0.5561985494568944,0.9793071051189438,0.07755899301930788,0.1968393347731014,0.4343996550896109,50.64676625106356,0.40166047423648593,0.7601906472949566,1.0004324810641603
2043,medium_immigration,0.294212257986236,0.396203793783216,0.298050806117913,0.0115331421126354,50.4992429667618,0.560012343339622,0.9830491116509384,0.07735064555399014,0.196689251089034,0.43449371470955817,50.66406244203453,0.40117479066781114,0.7601558826812391,1.0041986171692425
2044,medium_immigration,0.293182300020861,0.397301313482955,0.297930481094208,0.0115859054019753,50.5194026496461,0.5638268357142806,0.9868061059488317,0.07714315662362534,0.19653925438274697,0.43458740284343583,50.6812894862793,0.400689212198147,0.7601211082500257,1.0079798004977079
2045,medium_immigration,0.292156463467602,0.398394453720351,0.297810624037858,0.0116384587741888,50.5394813169841,0.5676419315859675,0.9905780564511404,0.07693652426905087,0.19638934836100036,0.4346807050107019,50.69844736268687,0.40020375189520224,0.7600863248656795,1.011776028839575
2046,medium_immigration,0.290970829621239,0.397980690241052,0.299535620953605,0.0115128591841046,50.5746141008076,0.5694054113700986,0.9923264620141201,0.07665632258213956,0.19632009484530508,0.4362980076807528,50.74986510581563,0.39997942015900084,0.7600702455200066,1.0135053254406445
2047,medium_immigration,0.289793041384014,0.397569674908922,0.301249191637682,0.0113880920693812,50.6095143383012,0.5712106665596366,0.9941194824521659,0.07637734534285204,0.19624922606569215,0.4379045991287548,50.800942416649484,0.3997498176274626,0.760053784503806,1.0152700420752965
2048,medium_immigration,0.28862303472989,0.397161370401578,0.302951445567529,0.0112641493010018,50.6441839434692,0.5730580100789666,0.9959576599854314,0.07609957847426649,0.1961767315115621,0.4395005801721943,50.851682357258,0.39951490765955744,0.7600369389098703,1.0170707187762915
2049,medium_immigration,0.287460725920119,0.396755749476071,0.30464250357644,0.0111410210273699,50.6786256273622,0.5749077452346683,0.9978016227783357,0.07582361127494719,0.19610416993495805,0.4410860632554111,50.902088509261496,0.39927973987700754,0.7600200706962158,1.0188773505124238
2050,medium_immigration,0.286306038230049,0.396352791507075,0.30632246975883,0.0110187005040455,50.7128413288,0.5767595702782273,0.9996510887270568,0.07554943072167083,0.1960315532605194,0.44266114750208063,50.952164091524104,0.3990443529107285,0.7600031826116301,1.0206897289039343
2051,medium_immigration,0.286001848797948,0.393974723904933,0.309063784962761,0.010959642334358,50.763391833091,0.5738511001691222,0.9967478574432479,0.07541711285015425,0.1961456168149669,0.4451208072477149,51.01051243648905,0.39941407174008536,0.7600297066154194,1.0176499531859866
2052,medium_immigration,0.28570013704885,0.391615947580076,0.311782852782625,0.0109010625884503,50.8135319183088,0.5708734402433038,0.9937842957211737,0.07528709002596802,0.19626246259277552,0.4475605032766403,51.06838706624542,0.3997927046290194,0.7600568595227024,1.0145686639536746
2053,medium_immigration,0.285400862982518,0.389276236164926,0.314479944327385,0.0108429565251712,50.8632666335392,0.5678259674459696,0.9907603751117298,0.07515934963699515,0.19638211995750557,0.4499804813199229,51.12579395837137,0.40018033879103015,0.7600846468677477,1.0114457380494728
2054,medium_immigration,0.285103992944093,0.386955363066341,0.317155326163036,0.0107853178265294,50.9126011385668,0.5647842725738883,0.9877513629276811,0.07503273663163028,0.1965016232005089,0.4523809806489949,51.1827388404482,0.40056736266681814,0.7601123793326643,1.0083388708763343
2055,medium_immigration,0.284809501326177,0.38465309371907,0.319809264137078,0.0107281408176752,50.9615402931458,0.5617489144206047,0.9847577294481579,0.07490722888812282,0.1966209499776178,0.4547622392603513,51.23922730447257,0.4009537039701578,0.7601400518357333,1.0052483770588125
2056,medium_immigration,0.284774771254463,0.382837198102982,0.321620513993097,0.010767516649457,51.0192337038178,0.5589981190860271,0.9820525848356831,0.07485230879863676,0.19672915253757406,0.45643301189012914,51.27726104071722,0.4013039324073274,0.7601651281726236,1.002452875289761
2057,medium_immigration,0.284740308620208,0.381035379306426,0.323417723982404,0.0108065880909622,51.0764801525119,0.5562213314697146,0.9793294159601096,0.07479843976623347,0.196838437895895,0.4580908345729983,51.3150000155688,0.40165757239132416,0.7601904396359059,0.9996488236695882
2058,medium_immigration,0.284706108660987,0.379247467081765,0.325201066833574,0.010845357423674,51.133284615317,0.5534184454008937,0.9765883104810577,0.07474561438349586,0.1969488119726782,0.45973586553237517,51.35244783652626,0.40201463999084375,0.7602159871418639,0.9968362256148611
2059,medium_immigration,0.284672171758299,0.377473304342679,0.326970695537452,0.0108838283615699,51.1896523177553,0.5506272604689002,0.9738662725269608,0.07469326064451834,0.19705878677709437,0.461368245745375,51.38960767000669,0.40237032026448616,0.7602414261436992,0.9940434527687704
2060,medium_immigration,0.284638496537363,0.375712732818892,0.328726767672467,0.0109220029712783,51.2455881374297,0.5478479890152812,0.9711633915558799,0.07464136882034797,0.19716835319791073,0.46298811909876636,51.426482754669486,0.40272458450294296,0.7602667547295222,0.9912705158248963
2061,medium_immigration,0.284284475653435,0.374888520747023,0.329727760542055,0.0110992430574866,51.2903577415073,0.5472043985500932,0.9705385611459495,0.07454053406936131,0.19719373396578868,0.4641016318915723,51.45810380015931,0.4028066352724704,0.7602726197594525,0.9906188264488316
2062,medium_immigration,0.283932547471727,0.374069143587499,0.330722869156701,0.0112754397840728,51.3348640102924,0.546589158475399,0.96994163057573,0.07443990114527027,0.19721799975620963,0.4652085959259374,51.48953871579301,0.4028850767626872,0.7602782263408662,0.9899891606117647
2063,medium_immigration,0.283582672374183,0.373254575682222,0.331712148199499,0.011450603744096,51.3791096642793,0.546002590097487,0.9693728603144462,0.07433945813867876,0.19724113748181132,0.4663090758931081,51.52078961163671,0.4029598673133485,0.7602835715582309,0.9893817593860943
