t,birthrate_index,average_age,average_age_dev,house_price_index,house_price_dev,young_homeownership,young_homeownership_dev,old_homeownership,old_homeownership_dev,aggregate_homeownership,aggregate_homeownership_dev
26,1,47.0980241709361,0.0988621699728469,1.01172208401101,0.0293807012829184,0.381655500994364,-0.00185952584426191,0.724488346266663,-0.000145545265623492,0.476895265468788,-0.0038548729992256
27,1,47.1194628460284,0.120300845065103,1.01199374949909,0.0296523667709963,0.381636059572755,-0.00187896726587128,0.723743056157795,-0.000890835374491528,0.476367136459204,-0.00438300200880987
28,1,47.1394169531097,0.140254952146464,1.01207646264327,0.0297350799151848,0.381623853988863,-0.00189117284976265,0.723166302029995,-0.00146758950229187,0.475962515334249,-0.00478762313376491
29,1,47.1577719861838,0.158609985220501,1.01200386745609,0.0296624847279998,0.38161630452319,-0.00189872231543564,0.722617874673068,-0.00201601685921815,0.475583676675432,-0.00516646179258107
30,1,47.1743986191369,0.175236618173628,1.01193125762496,0.0295898748968748,0.381611194186154,-0.00190383265247202,0.722077672951482,-0.00255621858080513,0.475242832970869,-0.00550730549714484
31,1,47.1893591568331,0.190197155869846,1.01204764493735,0.0297062622092605,0.381608278064944,-0.00190674877368213,0.721555951341644,-0.00307794019064256,0.474937251827971,-0.00581288664004248
32,1,47.202862533135,0.203700532171759,1.01159852990394,0.0292571471758469,0.381607561435812,-0.00190746540281356,0.721295213830675,-0.00333867770161167,0.474752319088065,-0.00599781937994864
33,1,47.2150878136073,0.215925812643988,1.01108519878164,0.0287438160535556,0.381616158424614,-0.00189886841401171,0.720864540565294,-0.00376935096699227,0.474516780209529,-0.00623335825848403
34,1,47.2260458126641,0.226883811700858,1.00984662088951,0.0275052381614249,0.381627820618545,-0.00188720622008054,0.720430508311532,-0.0042033832207542,0.474318113737889,-0.00643202473012416
35,1,47.2357901028812,0.236628101917901,1.00986686922132,0.0275254864932328,0.381635909819628,-0.0018791170189984,0.720056201229095,-0.00457769030319155,0.474151219965378,-0.00659891850263594
36,1,47.244464462756,0.245302461792754,1.00882060676009,0.0264792240319984,0.381644802577435,-0.00187022426119104,0.719742897911633,-0.00489099362065393,0.474156490115759,-0.00659364835225468
37,1,47.252289445456,0.253127444492762,1.00819706176307,0.0258556790349798,0.381659358335817,-0.00185566850280927,0.719427659233155,-0.00520623229913142,0.474065930015083,-0.00668420845293044
38,1,47.2595124799236,0.260350478960362,1.00804923647906,0.0257078537509747,0.381675234667995,-0.00183979217063096,0.718814760046168,-0.00581913148611901,0.473919388140999,-0.00683075032701486
39,1,47.2663236858665,0.267161684903279,1.00728983597099,0.0249484532429058,0.381690511226229,-0.00182451561239666,0.718547616745117,-0.00608627478716972,0.474751762059137,-0.00599837640887596
40,1,47.2729184251861,0.27375642422281,1.00729584982467,0.0249544670965762,0.38169957401389,-0.00181545282473566,0.718339669693687,-0.00629422183859951,0.474754402747694,-0.00599573572031958
41,1,47.2794390410877,0.28027704012446,1.00711292831018,0.0247715455820887,0.381706523950231,-0.00180850288839535,0.718520445799835,-0.00611344573245143,0.474808029959345,-0.00594210850866894
42,1,47.2859403370232,0.286778336059896,1.00692996989667,0.02458858716858,0.381711793488267,-0.00180323335035865,0.718494261099679,-0.00613963043260812,0.474839261324733,-0.00591087714328037
43,1,47.2924386573537,0.29327665639039,1.00693598172109,0.024594598992997,0.381716168194685,-0.00179885864394108,0.718421565066344,-0.00621232646594294,0.474849386461841,-0.00590075200617224
44,1,47.2990034320266,0.299841431063342,1.00675312192978,0.0244117392016867,0.381721323765454,-0.0017937030731715,0.718379400355875,-0.00625449117641153,0.474848749741285,-0.0059013887267283
45,1,47.3056792588075,0.306517257844199,1.00657022525189,0.024228842523804,0.381724653526761,-0.00179037331186532,0.718351356016132,-0.00628253551615454,0.474835926268567,-0.00591421219944649
46,1,47.3123539841738,0.313191983210537,1.00638729168,0.0240459089519087,0.381728873590013,-0.00178615324861303,0.718329580635761,-0.00630431089652594,0.474827806929591,-0.00592233153842286
47,1,47.3188232585228,0.319661257559488,1.00586126364566,0.0235198809175676,0.381731122967962,-0.00178390387066441,0.718668129557254,-0.0059657619750324,0.474885109931552,-0.0058650285364617
48,1,47.3248908723934,0.325728871430108,1.00581252092458,0.0234711381964929,0.38173600778024,-0.00177901905838646,0.71868730057023,-0.00594659096205663,0.474900149826637,-0.00584998864137598
49,1,47.3304922087546,0.331330207791289,1.00528944975281,0.022948067024726,0.381834918434546,-0.00168010840408039,0.718734504046428,-0.00589938748585872,0.474924111026425,-0.00582602744158872
50,1,47.3355788885038,0.336416887540544,1.00476627306686,0.0224248903387696,0.381864421410459,-0.00165060542816692,0.71878474845314,-0.00584914307914708,0.47550841104337,-0.00524172742464379
51,1,47.3397812362355,0.340619235272264,1.00405452803014,0.0217131453020465,0.381899109927656,-0.00161591691096952,0.718899484243056,-0.00573440728923014,0.475679432144225,-0.0050707063237882
52,1,47.3425616127985,0.343399611835245,1.00353163335819,0.0211902506300969,0.381928459655867,-0.00158656718275946,0.718961459863789,-0.00567243166849807,0.475790291948774,-0.00495984651923964
53,1,47.3435054678232,0.344343466859897,1.00300863320765,0.0206672504795629,0.381944434865078,-0.00157059197354781,0.719027961439173,-0.00560593009311328,0.475895767156167,-0.00485437131184657
54,1,47.3425097307968,0.343347729833532,1.00248602039769,0.0201446376696051,0.382420694083541,-0.00109433275508491,0.719096937394292,-0.00553695413799415,0.476094605001629,-0.00465553346638414
55,1,47.3425097307968,0.343347729833532,1.00180800763484,0.0194666249067541,0.382453899647257,-0.00106112719136858,0.719160403044614,-0.00547348848767271,0.476237858757123,-0.00451227971088997
56,1,47.3182271185021,0.319065117538848,1.00131879468418,0.0189774119560899,0.382481867778849,-0.00103315905977663,0.719317937061586,-0.00531595447070066,0.476363639667583,-0.00438649880042996
57,1,47.2932387610345,0.294076760071263,1.00082948304922,0.0184881003211337,0.382505835231847,-0.00100919160677937,0.719450758180692,-0.0051831333515947,0.476490380712998,-0.00425975775501525
58,1,47.2678121374199,0.268650136456671,1.00034007271007,0.0179986899819813,0.382678683786693,-0.000836343051932975,0.719492860413526,-0.00514103111876085,0.476610550984773,-0.00413958748324
59,1,47.2421871244044,0.243025123441114,0.999851024834452,0.0175096421063631,0.382711804181808,-0.000803222656817537,0.719564793800717,-0.00506909773156994,0.476716443799228,-0.00403369466878528
60,1,47.2164370577228,0.217275056759533,0.99936187830784,0.0170204955797512,0.38308709622944,-0.000427930609186056,0.719723627241313,-0.00491026429097352,0.476894557262011,-0.0038555812060021
61,1,47.1906444321888,0.19148243122558,0.999160677850307,0.0168192951222181,0.383184611316715,-0.000330415521911431,0.719886236747317,-0.00474765478496941,0.477024399336824,-0.00372573913118962
62,1,47.165103411397,0.165941410433767,0.998959781297263,0.0166183985691737,0.383247530716825,-0.000267496121801214,0.720050226329519,-0.00458366520276743,0.477093613381243,-0.00365652508677028
63,1,47.1402088569847,0.141046856021433,0.998758554642711,0.0164171719146224,0.383261002121307,-0.000254024717319001,0.720210367903196,-0.00442352362909093,0.477191348126731,-0.00355879034128254
