year,scenario,share_25_39,share_40_59,share_60_79,share_80,average_age,price,price_index,births,fertility_rate,theta,average_age_bridge,young_homeownership_proxy,old_homeownership_proxy,young_housing_burden_proxy,case
2047,medium_immigration,0.289793041384014,0.397569674908922,0.301249191637682,0.0113880920693812,50.6095143383012,0.636352537004536,1.0610340957168545,0.07541120840395854,0.1937667670894053,0.4379045991287548,50.800942416649484,0.3914948929400378,0.759459278716556,1.0833228379123334,baseline
2048,medium_immigration,0.28862303472989,0.397161370401578,0.302951445567529,0.0112641493010018,50.6441839434692,0.637828256720976,1.062601040553046,0.0751423128612075,0.1937090011650421,0.4395005801721943,50.851682357258,0.3913085842120076,0.7594457991694836,1.0848432006862903,baseline
2049,medium_immigration,0.287460725920119,0.396755749476071,0.30464250357644,0.0111410210273699,50.6786256273622,0.6392886093451564,1.0641539463901506,0.07487541778895926,0.19365183756274837,0.4410860632554111,50.902088509261496,0.39112424675083235,0.7594324594807303,1.086349577420494,baseline
2050,medium_immigration,0.286306038230049,0.396352791507075,0.30632246975883,0.0110187005040455,50.7128413288,0.64073333291296,1.0656924657762767,0.07461050729551123,0.1935952858278654,0.44266114750208063,50.952164091524104,0.39094191268287903,0.7594192620593219,1.0878416204861314,baseline
2051,medium_immigration,0.286001848797948,0.393974723904933,0.309063784962761,0.010959642334358,50.763391833091,0.6422748240715932,1.0673364880874785,0.07441501705366328,0.19353935557421983,0.4451208072477149,51.01051243648905,0.39074739945644665,0.7594051801291306,1.0894417061089854,baseline
2052,medium_immigration,0.28570013704885,0.391615947580076,0.311782852782625,0.0109010625884503,50.8135319183088,0.6439152837280756,1.0690888474805393,0.07421960964172979,0.19347969692992661,0.4475605032766403,51.06838706624542,0.39054043601692773,0.7593901934769907,1.0911626253554132,baseline
2053,medium_immigration,0.285400862982518,0.389276236164926,0.314479944327385,0.0108429565251712,50.8632666335392,0.6456569084762288,1.0709524214274808,0.0740242437805152,0.1934162282148502,0.4499804813199229,51.12579395837137,0.3903207525106539,0.759374281918862,1.0930070670265744,baseline
2054,medium_immigration,0.285103992944093,0.386955363066341,0.317155326163036,0.0107853178265294,50.9126011385668,0.6475010039449383,1.0729291820424895,0.07382887974701141,0.1933488682491589,0.4523809806489949,51.1827388404482,0.3900881921255002,0.7593574334003772,1.0949668360277198,baseline
2055,medium_immigration,0.284809501326177,0.38465309371907,0.319809264137078,0.0107281408176752,50.9615402931458,0.6494488740811352,1.075021145529602,0.07363349238616611,0.19327757064356257,0.4547622392603513,51.23922730447257,0.38984259889054884,0.7593396358728578,1.0970439597134503,baseline
2056,medium_immigration,0.284774771254463,0.382837198102982,0.321620513993097,0.010767516649457,51.0192337038178,0.6514977993450173,1.0772260415761286,0.0735103935499285,0.1932022893867552,0.45643301189012914,51.27726104071722,0.38958432460256387,0.7593209140427786,1.0992360932061274,baseline
2057,medium_immigration,0.284740308620208,0.381035379306426,0.323417723982404,0.0108065880909622,51.0764801525119,0.6536500979895135,1.0795470505815121,0.07338662750540603,0.19312313419581706,0.4580908345729983,51.3150000155688,0.38931308643027335,0.7593012465784407,1.1015572041473303,baseline
2058,medium_immigration,0.284706108660987,0.379247467081765,0.325201066833574,0.010845357423674,51.133284615317,0.6559081060407213,1.0819874306754562,0.07326215770187462,0.1930400203536913,0.45973586553237517,51.35244783652626,0.3890286001051074,0.7592806119735154,1.1040105759936751,baseline
2059,medium_immigration,0.284672171758299,0.377473304342679,0.326970695537452,0.0108838283615699,51.1896523177553,0.6582732266205711,1.0845494900102124,0.07313694919560382,0.19295286285137397,0.461368245745375,51.38960767000669,0.38873069969351887,0.7592589972348867,1.1065877283354288,baseline
2060,medium_immigration,0.284638496537363,0.375712732818892,0.328726767672467,0.0109220029712783,51.2455881374297,0.6607468656147613,1.0872355947769126,0.07301098051240403,0.19286161307737312,0.46298811909876636,51.426482754669486,0.3884192196679481,0.7592363893329565,1.109291050722223,baseline
2061,medium_immigration,0.284284475653435,0.374888520747023,0.329727760542055,0.0110992430574866,51.2903577415073,0.6632818315482827,1.089995196241457,0.0728669055536871,0.19276622267414273,0.4641016318915723,51.45810380015931,0.3881001119041411,0.7592132194273666,1.112068947870674,baseline
2062,medium_immigration,0.283932547471727,0.374069143587499,0.330722869156701,0.0112754397840728,51.3348640102924,0.6658787639304488,1.0928295187420207,0.07272269936637538,0.19266851628295042,0.4652085959259374,51.48953871579301,0.3877733031349207,0.75918948156187,1.11492004692811,baseline
2063,medium_immigration,0.283582672374183,0.373254575682222,0.331712148199499,0.011450603744096,51.3791096642793,0.6685383079516877,1.0957398152702709,0.0725783480494116,0.19256847284401224,0.4663090758931081,51.52078961163671,0.3874387196849417,0.7591651697240053,1.1178456904024678,baseline
2064,medium_immigration,0.283234849984629,0.372444760719708,0.332695645270109,0.0116247440255545,51.4230964933148,0.6712613448223457,1.098727621294686,0.07243384376759314,0.19246607121446446,0.4674031228684028,51.55185772345061,0.38709625851692514,0.7591402757391544,1.1208501300966989,baseline
2065,medium_immigration,0.282889058746492,0.371639668456934,0.33367340295697,0.0117978698396028,51.4668268739139,0.6740487584212917,1.1017945019545272,0.07228917251158433,0.19236128131007826,0.46849078670494176,51.58274456118362,0.38674581662299695,0.7591147914031948,1.1239349497144884,baseline
2066,medium_immigration,0.282419404143992,0.37129250352547,0.334270422870402,0.0120176694601365,51.4894195788312,0.6768792908488556,1.1049175849294828,0.07214190479994906,0.19225407310592857,0.46929637247588585,51.609607803422364,0.3863900736863635,0.7590889109634172,1.1270768050826574,baseline
2067,medium_immigration,0.281951438266628,0.370946579700527,0.334865300647556,0.0122366813852885,51.5119310446844,0.6797535041421282,1.1080979220342257,0.07199454202224995,0.19214526762892598,0.47009906808956586,51.636374625536405,0.38602896497806477,0.7590626291936787,1.1302763891732792,baseline
2068,medium_immigration,0.281485144911881,0.370601892232529,0.335458052428423,0.0124549104271669,51.5343621062895,0.6826719626567761,1.111336583500669,0.07184707580729274,0.19203484607298535,0.47089889483324876,51.66304578063912,0.38566242569295367,0.7590359408437622,1.1335347940211413,baseline
2069,medium_immigration,0.28102051613224,0.370258434702906,0.336048686368574,0.01267236279628,51.5567131623028,0.6856352651444144,1.1146346941995426,0.07169949931855522,0.19192278963304774,0.4716958668285326,51.68962176034382,0.3852903869292679,0.7590088403459397,1.1368535387546754,baseline
2070,medium_immigration,0.280557550671916,0.369916191504838,0.336637217724146,0.0128890400991003,51.5789844937975,0.6886440129730419,1.1179933991297708,0.07155180613091668,0.1918090782764999,0.47248999944013437,51.71610294074697,0.3849127796899805,0.7589813221054604,1.140233781286756,baseline
2071,medium_immigration,0.280257287809965,0.370547613696372,0.336119737793554,0.0130753607001089,51.5798881239373,0.6916736293240897,1.1213856261907726,0.07148146423080105,0.19169369196725733,0.47223699547280196,51.716690720550005,0.384532693405215,0.7589536108331681,1.1436479023268404,baseline
2072,medium_immigration,0.279957612616424,0.371177797887179,0.335603264335145,0.0132613251612523,51.5807900860467,0.6947254998072852,1.1248131774445485,0.07141093631037997,0.19157757548093518,0.471984488654294,51.71727748333368,0.3841499576573976,0.7589256938088141,1.1471097318501886,baseline
2073,medium_immigration,0.279658509971877,0.371806793859859,0.335087762453981,0.0134469337142833,51.5816901116401,0.6978010317221086,1.1282779014736184,0.07134020282808712,0.19146067717084417,0.47173245005565634,51.717862802857425,0.38376439960955483,0.7588975581093768,1.1506212511394027,baseline
2074,medium_immigration,0.279359981358352,0.372434574381103,0.334573257988534,0.0136321862720104,51.5825884412961,0.7009006406526523,1.1317805473450455,0.07126924350659192,0.19134294469893917,0.47148090263073716,51.71844716729581,0.3833759709885383,0.7588691998808925,1.1541712467998315,baseline
2075,medium_immigration,0.27906202543062,0.373061164223826,0.334059726030368,0.0138170843151867,51.5834848917824,0.7040247455224353,1.135321877327363,0.0711980542198149,0.1912243637981416,0.47122982549640613,51.71903014718474,0.3829846232286748,0.7588406152372177,1.1577604871566514,baseline
2076,medium_immigration,0.278847039659347,0.37365710456487,0.333722279821786,0.0137735759539973,51.5872055378248,0.7071790187415581,1.138908646571324,0.07114096902141555,0.19110492012425126,0.4709192142493029,51.714716468994084,0.3825896501887319,0.7588117522168231,1.161395854010461,baseline
2077,medium_immigration,0.278632616650661,0.374251471636031,0.333385730989272,0.0137301807240362,51.5909164342097,0.7103642089807083,1.1425420707774356,0.07108353082406192,0.19098439871767472,0.4706094280443782,51.71041434048199,0.38219096307936146,0.7587826039006491,1.1650808381121638,baseline
2078,medium_immigration,0.278418770784547,0.374844268043324,0.333050059338625,0.0136869018335034,51.5946171127543,0.7135810742459887,1.1462233926626986,0.07102573280728033,0.1908627731333252,0.4703004494372336,51.70612320396475,0.38178847216254985,0.7587531632812718,1.1688167056804093,baseline
2079,medium_immigration,0.278205477189409,0.375435507870319,0.33271527838826,0.0136437365520127,51.5983084631314,0.7168301912282211,1.1499536633144616,0.07096756111109037,0.190740016661597,0.4699922918678341,51.70184368178697,0.3813821105988669,0.758723425007859,1.1726022569134318,baseline
2080,medium_immigration,0.277992748802741,0.376025192306145,0.33238137406365,0.0136006848274653,51.6019898129724,0.7201121434322995,1.1537339562515394,0.07090901109079253,0.1906161095993459,0.4696849406815927,51.69757526446279,0.3809718108917036,0.7586933836647031,1.1764385797367465,baseline
2081,medium_immigration,0.278004506022302,0.375907287082599,0.332463927830512,0.0136242790645866,51.6051247070423,0.7234626936863405,1.1576060831071293,0.0708591070388792,0.19049103206148033,0.46977871030224344,51.69974021268983,0.3805531104940154,0.7586627117782263,1.1803683014362882,baseline
2082,medium_immigration,0.278016220211925,0.375789793314566,0.332546190539496,0.0136477959340138,51.6082490517657,0.7268830567409015,1.1615722952615968,0.07080827786929512,0.1903634248665142,0.46987215479437006,51.7018977330687,0.38012586914142854,0.7586313980635976,1.1843951546906146,baseline
2083,medium_immigration,0.27802790402277,0.375672665913962,0.332628195515816,0.0136712345474529,51.6113631352903,0.7303744527215277,1.1656348920446513,0.0707565086973996,0.19023324699207925,0.46996530145352655,51.704048243615205,0.3796899464589508,0.7585994311794232,1.1885214055765065,baseline
2084,medium_immigration,0.278039535162014,0.375555938503363,0.332709930902845,0.0136945954317776,51.6144672460654,0.7339379836161234,1.1697960778478669,0.07070378174694321,0.19010045744077952,0.4700581434268583,51.70619191339085,0.3792452173924619,0.7585668008585477,1.1927477665498554,baseline
2085,medium_immigration,0.2780511449101,0.375439588265704,0.3327913870034,0.0137178798207959,51.617560666644,0.7375747604749178,1.1740581104866075,0.07065008850477279,0.18996501993945109,0.4701506684052613,51.70832803867552,0.37879155633049205,0.7585334967434569,1.19707652701719,baseline
