year,scenario,share_25_39,share_40_59,share_60_79,share_80,average_age
2055,low_immigration,0.280443265598588,0.393283005852926,0.316392136213604,0.00988159233488292,50.9407421341001
2056,low_immigration,0.279362337107911,0.392104508676593,0.318606593876568,0.00992656033892896,51.0200820278884
2057,low_immigration,0.278285683549396,0.390930673423621,0.320812293348562,0.00997134967842048,51.0991080578142
2058,low_immigration,0.277213285456334,0.389761477707442,0.323009275124847,0.010015961711377,51.1778218346829
2059,low_immigration,0.276145117950686,0.388596889214025,0.325197595580156,0.0100603972551329,51.2562251489749
2060,low_immigration,0.27508115529481,0.387436886444846,0.327377298607063,0.0101046596532808,51.3343198581658
2061,low_immigration,0.274512418146558,0.386309050789712,0.328895705635445,0.010282825428285,51.3991748305726
2062,low_immigration,0.273944818407147,0.38518349494214,0.330411054391763,0.0104606322589507,51.4638993508479
2063,low_immigration,0.273378372807482,0.384060197774226,0.331923347358514,0.0106380820597781,51.5284933872011
2064,low_immigration,0.272813067018283,0.382939158338101,0.333432600118706,0.010815174524911,51.592957536219
2065,low_immigration,0.27224888650074,0.381820371743136,0.334938829695602,0.0109919120605225,51.6572924937266
2066,low_immigration,0.27175560568019,0.380925997527261,0.33610610444101,0.0112122923515391,51.6947570848931
2067,low_immigration,0.271262171150366,0.380031337288289,0.337273750182599,0.0114327413787465,51.7322334773484
2068,low_immigration,0.270768569187499,0.379136402435432,0.338441766570723,0.0116532618063448,51.7697219663145
2069,low_immigration,0.270274821478499,0.378241168958365,0.339610156038431,0.0118738535247042,51.8072222632237
2070,low_immigration,0.269780906572645,0.377345648542187,0.340778930390431,0.0120945144947367,51.8447348651909
2071,low_immigration,0.269541927527949,0.377256712785229,0.340906216921671,0.0122951427651514,51.8579841432873
2072,low_immigration,0.269302527154367,0.377167615423019,0.341033737510104,0.0124961199125094,51.8712566941407
2073,low_immigration,0.269062711640913,0.377078370117631,0.341161473078725,0.0126974451627302,51.8845521392696
2074,low_immigration,0.268822479449035,0.376988972289823,0.34128942905019,0.0128991192109516,51.8978706602501
2075,low_immigration,0.268581829548039,0.376899409307499,0.341417616147534,0.0131011449969281,51.9112125132514
2076,low_immigration,0.268444745557444,0.376750775277442,0.341718478079608,0.0130860010855063,51.9233211137509
2077,low_immigration,0.268307472588528,0.376601939495684,0.342019751332634,0.013070836583153,51.9354461414541
2078,low_immigration,0.268170019129755,0.376452901319436,0.342321427641771,0.0130556519090367,51.9475873045448
2079,low_immigration,0.268032389881552,0.376303671031799,0.342623492095181,0.0130404469914683,51.9597441553228
2080,low_immigration,0.267894565197544,0.376154243753581,0.342925970204021,0.0130252208448536,51.9719176856071
2081,low_immigration,0.267855324547125,0.375986974696808,0.343079680630376,0.0130780201256916,51.9823924409467
2082,low_immigration,0.267816041455026,0.375819555877576,0.343233536089957,0.0131308665774395,51.9928770007969
2083,low_immigration,0.267776729879954,0.375651982920371,0.343387525683365,0.0131837615163097,52.0033707999481
2084,low_immigration,0.267737369550367,0.375484253951886,0.343541672893367,0.01323670360438,52.0138747476149
2085,low_immigration,0.267697990122097,0.375316375162493,0.343695939139636,0.0132896955757746,52.0243876504314
2086,low_immigration,0.267743704821119,0.375019612366327,0.343836092270927,0.0134005905416279,52.0260138809124
2087,low_immigration,0.267789472105565,0.37472251508567,0.343976402521768,0.013511610286998,52.0276421118716
2088,low_immigration,0.267835293610927,0.37442507636748,0.344116876605206,0.0136227534163877,52.0292721509659
2089,low_immigration,0.267881166557714,0.374127309670727,0.344257501963441,0.0137340218081172,52.0309038143028
2090,low_immigration,0.267927098932979,0.373829208044134,0.344398278956138,0.0138454140667499,52.0325371304215
2091,low_immigration,0.267828745441908,0.37349285306758,0.344870469793501,0.0138079316970112,52.0429833529137
2092,low_immigration,0.267730354615262,0.373156351238823,0.345342860273249,0.0137704338726661,52.0534340240205
2093,low_immigration,0.267631917043271,0.372819698311961,0.34581546547654,0.0137329191682277,52.0638894881578
2094,low_immigration,0.267533442052522,0.372482895937942,0.34628827459708,0.0136953874124563,52.0743492982089
2095,low_immigration,0.26743491648768,0.372145947416293,0.346761297834217,0.0136578382618094,52.0848139277266
2096,low_immigration,0.267157147217914,0.371913182480118,0.347244673012071,0.0136849972898974,52.1037803588507
2097,low_immigration,0.266879353754737,0.37168041214601,0.347728074007483,0.0137121600917702,52.1227481081212
2098,low_immigration,0.266601539962364,0.371447613695912,0.34821152238286,0.0137393239588637,52.1417174386142
2099,low_immigration,0.266323696366407,0.371214797940434,0.348695015391448,0.0137664903017112,52.1606886280113
