year,share_18_39,share_40_59,share_60_79,share_80_plus,adult_share_sum
1973,0.46270065923597853,0.3189677540454251,0.18807420276119188,0.030257383957404935,1.0000000000000004
1974,0.4685421758735466,0.31322578254658795,0.1876105830402343,0.03062145853963088,0.9999999999999997
1975,0.4743521024850079,0.3076500723066179,0.18728739532316385,0.03071042988521045,1.0000000000000002
1976,0.4793391798197245,0.30160668603059243,0.187440090156226,0.031614043993457006,1.0
1977,0.4841629770799918,0.2958245771468799,0.18796407575454888,0.03204837001857929,0.9999999999999999
1978,0.4885873846493584,0.29050110909319676,0.1888554704447919,0.032056035812653136,1.0000000000000002
1979,0.49254158700216133,0.2856233418656164,0.19001479950972577,0.03182027162249659,1.0
1980,0.49608229459415815,0.28106788149160494,0.19127921618023955,0.031570607733997266,0.9999999999999999
1981,0.499443468654169,0.2771027860201015,0.19070806397819118,0.032745681347538545,1.0000000000000002
1982,0.5020191365205052,0.27381153312143613,0.1903399357166196,0.03382939464143825,0.9999999999999993
1983,0.5035785918903468,0.27149779336314445,0.1902060649529722,0.034717549793536626,1.0
1984,0.5039570881193844,0.2704368875402876,0.1902786351975872,0.03532738914274074,0.9999999999999999
1985,0.5031194119774718,0.27069966680739554,0.19050118894102347,0.03567973227410936,1.0000000000000002
1986,0.5013484302612182,0.2717833254427499,0.18997297117621142,0.03689527311982073,1.0000000000000002
1987,0.4984682653377816,0.27412043732242264,0.18959462069171656,0.03781667664807963,1.0000000000000004
1988,0.49460736659647636,0.2776475887444758,0.1892917872313765,0.03845325742767106,0.9999999999999997
1989,0.49000759010531947,0.28218654122544223,0.18895398091843324,0.03885188775080521,1.0000000000000002
1990,0.48490874529171496,0.28751188093180224,0.18849630367145212,0.03908307010503067,0.9999999999999999
1991,0.4802801897036379,0.2927826325589185,0.18670066763931265,0.04023651009813095,1.0
1992,0.4753598531582798,0.29862777505935567,0.18494295433142485,0.04106941745093958,0.9999999999999999
1993,0.470111447075566,0.3049705274309605,0.1833495263305833,0.04156849916289079,1.0000000000000007
1994,0.46448833925055755,0.31171647962060656,0.18202707386982273,0.04176810725901347,1.0000000000000002
1995,0.45854596341812004,0.3187275387868933,0.18097891608311356,0.041747581711873316,1.0000000000000002
1996,0.4524219729626947,0.32591807882141655,0.1790964344200901,0.042563513795798834,1.0000000000000002
1997,0.4462203180608133,0.3330682809104848,0.177557482170057,0.043153918858645134,1.0000000000000002
1998,0.4400890468013327,0.3399843919839083,0.17639549625082546,0.04353106496393288,0.9999999999999993
1999,0.4341828214682748,0.34648213095860925,0.17560229125559987,0.04373275631751616,1.0
2000,0.4286079550568509,0.3524244697434653,0.1751517786404783,0.043815796559205616,1.0
2001,0.42280101536400355,0.3580584436390629,0.17434103935523507,0.04479950164169806,0.9999999999999996
2002,0.41736646079239204,0.36316190475315396,0.17400144801108455,0.045470186443369746,1.0000000000000002
2003,0.4124141126890523,0.3674508286936962,0.17431675079716621,0.04581830782008531,1.0
2004,0.4080910801316706,0.370551547526894,0.17550204377645304,0.045855328564982256,1.0
2005,0.40445926572572743,0.3722674454412966,0.17763503491895058,0.0456382539140255,1.0
2006,0.4009000536658388,0.3727674746370052,0.17978143534892996,0.04655103634822648,1.0000000000000004
2007,0.3978934657402473,0.3720940508803153,0.18274109288292592,0.04727139049651139,0.9999999999999999
2008,0.3953582409452754,0.3704487949492856,0.1864006052764383,0.04779235882900092,1.0000000000000002
2009,0.3931813754219286,0.36813270901568207,0.19062522069135077,0.048060694871038825,1.0000000000000004
2010,0.3912941270928442,0.36533270022098135,0.19531543350488384,0.04805773918129078,1.0000000000000002
2011,0.3907838047962098,0.3613126594136662,0.19933913992374586,0.048564395866378146,1.0
2012,0.3904370463497355,0.3570780351539193,0.2037261212841126,0.04875879721223266,1.0
2013,0.39009914805262463,0.3526977574290967,0.20845124199330603,0.04875185252497272,1.0000000000000002
2014,0.38969506409059024,0.3481560470227153,0.21348977956222046,0.04865910932447417,1.0000000000000002
2015,0.38912822929967444,0.34348481621122334,0.2188106436052294,0.04857631088387269,0.9999999999999999
2016,0.38855464758212904,0.33865058624881694,0.22357834607145777,0.0492164200975963,1.0
2017,0.38800714374181855,0.3337734751249399,0.2284950551750313,0.04972432595821044,1.0000000000000002
2018,0.3874384109205319,0.32896616265298473,0.2334385570828004,0.05015686934368279,0.9999999999999998
2019,0.3867092278669044,0.32441645636566135,0.2382989729892677,0.05057534277816649,0.9999999999999999
2020,0.3857073019038719,0.32025366299186364,0.24298397140173125,0.05105506370253311,0.9999999999999999
2021,0.38469102772105734,0.3164582036123181,0.2466978529884857,0.05215291567813845,0.9999999999999994
2022,0.3835712479599547,0.3130501721726879,0.25025396296629715,0.05312461690105995,0.9999999999999998
2023,0.38232863173026493,0.31009225762930387,0.25346782432956994,0.05411128631086094,0.9999999999999997
2024,0.38091754492262486,0.3076758433362094,0.25611718578769943,0.05528942595346626,0.9999999999999999
2025,0.3793068151706286,0.30584069455591484,0.2580778215009783,0.056774668772478915,1.0000000000000004
2026,0.3777325442543816,0.30455524153354474,0.25868908739931096,0.059023126812763255,1.0000000000000007
2027,0.37594838127986074,0.30389307547665173,0.25880199285968997,0.06135655038379712,0.9999999999999997
2028,0.37385373391873405,0.3038196970686027,0.25855581390056653,0.06377075511209633,0.9999999999999996
2029,0.37140969900547977,0.3042541772437083,0.25811579029952897,0.06622033345128266,0.9999999999999997
2030,0.36859021197355957,0.30513041939903685,0.2575830878150068,0.06869628081239695,1.0000000000000002
