candidate_id,birth_utility_1,birth_utility_2,birth_utility_3,child_utility,birth_cost,birth_price_coeff,lambda_crowd,birth_rate_p15,birth_rate_p20,birth_rate_p25,birth_rate_p30,birth_decline,vote_p15,vote_p20,vote_p25,vote_p30,vote_sign_changes,vote_low_positive,vote_high_negative,vote_cross,mass_error,share_parity_0,share_parity_1,share_parity_2,share_parity_3plus,parity_rmse,share_home_any_40,share_home_any_50,mean_home_children_40,mean_home_children_50,demo_score,benchmark_score,stage1_demo_rank,stage1_benchmark_rank
11,0.983765971508444,1.13260527389688,1.13906600353407,0.0659726986070106,0.0801790965104846,0.377679535412855,0.213990617112669,0.637991264976705,0.388558218227628,NaN,0.0389319833922887,0.599059281584416,-0.0835617759469544,-0.00769945786627763,NaN,-0.310397903995857,0,0,1,0,1.77635683940025e-14,0.339271172941658,0.312744300912565,0.243053173740393,0.104931352405384,0.150098081583919,0.572861961563556,0.564959384667188,0.793498209824358,0.899456606292164,-18.7681979618455,-18.6691386802611,NaN,NaN
12,1.10548586178404,1.38500622229157,1.41948903866751,0.0581898121742052,0.0993122865605871,0.364430422459411,0.223001820511683,0.757366098409231,0.626033905650009,NaN,0.104938002925326,0.652428095483905,-0.0731587223707962,-0.0763421360878783,NaN,-0.313778213888309,0,0,1,0,1.59872115546023e-14,0.0997634705904665,0.148951909372805,0.344316333546204,0.406968286490525,0.0728580423862879,0.870901201264741,0.846828530653894,1.44801095865248,1.74370691882444,-7.59398345037477,-7.44155535489087,NaN,NaN
13,0.997907205575375,1.34180195453346,1.37423163308903,0.0649607630869625,0.0475602845867032,0.245475940770952,0.296636888484879,0.762743928232886,0.690261145087993,NaN,0.399031503177633,0.363712425055252,-0.00165203099180605,-0.069462133110461,NaN,-0.348719916710093,0,0,1,0,1.06581410364015e-14,0.0663330991378402,0.100506289272842,0.323398930528571,0.509761681060746,0.13222810687662,0.913400619826684,0.895486245072963,1.56573867353401,1.94669846121061,-14.3155908440517,-14.4518784189965,NaN,NaN
14,0.821795597500151,1.04658250871304,1.14580905018984,0.0434958149958217,0.168212447723739,0.280735519798814,0.322460147221491,0.181081743259082,0.0848926150937837,NaN,0.0139087049664728,0.16717303829261,0.113648585489299,0.00105998651541189,NaN,-0.310397903995857,1,1,1,1,8.88178419700125e-15,0.911627753775118,0.0732913383932081,0.0124090274731155,0.00267188035855929,0.438815243541705,0.0627673496170733,0.0686672731223167,0.0715229767892353,0.0813474428076761,-52.8271888254921,-50.1600157871995,NaN,NaN
15,1.24998928372743,1.31773965406538,1.21564293748712,0.0364189830108077,0.169357237626393,0.422521777114056,0.286809194499673,0.32134204920369,0.160251952572986,NaN,0.0156280509799679,0.305713998223722,0.042011759005993,0.00105998447927985,NaN,-0.310397903995857,1,1,1,1,8.88178419700125e-15,0.788009871525684,0.181759079257158,0.028163405150038,0.00206764406711969,0.379622141893701,0.136235888028874,0.163404299214339,0.148646090097322,0.185638598584569,-43.2280527532834,-40.4223387550596,NaN,NaN
16,1.16693543242618,1.5162289317875,1.36467931430056,0.0183205371009707,0.0365543630091604,0.335465580367833,0.329069297313369,0.469974476716912,0.327721674033316,NaN,0.0774860950979782,0.392488381618934,0.00583139448389958,-0.00898111395234757,NaN,-0.310397903995856,1,1,1,1,1.06581410364015e-14,0.598109272196003,0.20535811092636,0.165973732940066,0.0305588839375709,0.268778570954683,0.381919733796076,0.340668877774768,0.463048620664352,0.501789532493502,-30.6702629025111,-27.7777745208922,NaN,NaN
17,0.909660248716705,1.43101166482964,1.51697547382243,0.0593232664639262,0.162326463986299,0.51480442259816,0.209322520434352,0.565843206720399,0.0710695120755462,NaN,0.000823455168205586,0.565019751552193,-0.116932735110882,-0.00225187517549985,NaN,-0.310397903995856,0,0,1,0,1.06581410364015e-14,0.893956223164688,0.0549199561148688,0.0331873111679092,0.0179365095525334,0.426210288234722,0.100138364748643,0.0891976824103131,0.139984698723807,0.140780828272323,-51.7700194183729,-51.7049996668207,NaN,NaN
18,1.06970470898423,1.64822136504779,1.73196745181203,0.0561138452626849,0.171812606796063,0.318753552473638,0.221780649365286,0.807448413202842,0.781285221201919,NaN,0.463730605790983,0.343717807411859,-0.0496240507019744,-0.140359778996463,NaN,-0.364746509053899,0,0,1,0,7.105427357601e-15,0.0025417779744579,0.00536794748584737,0.0922343887000988,0.899855885839596,0.356982860342404,0.997072763118095,0.992904809535468,1.98190587121964,2.52822211478029,-37.309440667578,-37.4657228601661,NaN,NaN
19,0.940669209076491,1.47484500977002,1.75332534192065,0.026367766867051,0.167628842746305,0.245536272749783,0.201518906017228,0.803252591938047,0.775096575689357,NaN,0.480371916093064,0.322880675844983,0.0330518192028014,-0.0626116790713315,NaN,-0.359280174400115,1,1,1,1,1.24344978758018e-14,0.012348820299801,0.0150442613226302,0.0898190620572246,0.882787856320344,0.347745094270259,0.987333374211177,0.980308856044454,1.9534914133775,2.48605937492271,-36.1023255359563,-33.2794448601113,NaN,NaN
20,1.08248018523908,1.76992751404579,2.02110797972443,0.0498786258081095,0.141433321697211,0.38296757978358,0.123839007239324,0.81130383148533,0.795464902981309,NaN,0.731925554349,0.0793782771363303,-0.0698417591433327,-0.130365922029645,NaN,-0.40376774773874,0,0,1,0,3.5527136788005e-15,2.17181031805198e-06,1.64527595024182e-05,0.00297626882803643,0.997005106602143,0.417358061762704,0.999991177710984,0.999898545990425,2.0677938484612,2.63456984673262,-42.6229209511787,-43.0435426740424,NaN,NaN
21,1.37912100668288,1.79603415349133,1.89773604656273,0.0787794183579105,0.0858642729343823,0.252241591732155,0.194506631708435,0.828111952891284,0.825549709062728,NaN,0.816496755268461,0.0116151976228234,-0.0494968984375801,-0.0530300136118507,NaN,-0.340933490643913,0,0,1,0,5.32907051820075e-15,3.69584913866388e-09,1.02067782576519e-06,0.00112953534607213,0.998869440280253,0.41854718078695,0.99999982035202,0.999963912962018,2.04627680718834,2.63645228999113,-42.723494188723,-43.2118789911001,NaN,NaN
22,0.834389574035485,1.11678954075276,1.41172491029969,0.0569604187658118,0.115877077190405,0.314013159789652,0.152692714876744,0.786921086668895,0.747174943582342,NaN,0.206792924687731,0.580128161981164,-0.0365805124074551,-0.0555643113486346,NaN,-0.32557737638498,0,0,1,0,1.06581410364015e-14,0.0051231422887757,0.0136061890404956,0.0677917391082973,0.913478929562431,0.366186404756557,0.992507135540039,0.988565067145278,2.03203798809819,2.52983300515505,-37.8871521022263,-37.8070239402452,NaN,NaN
23,0.998541002127362,1.07179614835488,1.10827501292144,0.0651323499303639,0.157710580640808,0.43940984136187,0.133069886346042,0.671495718280566,0.372174195219548,NaN,0.0215407730874688,0.649954945193098,-0.11696704198499,-0.0620751358009677,NaN,-0.310397903995856,0,0,1,0,1.24344978758018e-14,0.233461141104284,0.32617793638875,0.283161030065464,0.157199892441503,0.105128910813134,0.678427966668579,0.661104967002815,1.00052202265673,1.10803848702588,-12.4394852091111,-12.289530263918,NaN,NaN
24,1.31967346489523,1.91565336470317,1.72418243120153,0.00969319177061634,0.139766613869778,0.251436115849663,0.169616382088141,0.804097424504449,0.7812566374554,NaN,0.705321625565229,0.0987757989392202,0.0170038004996515,-0.0843282134332217,NaN,-0.367518572346333,1,1,1,1,1.59872115546023e-14,0.00023562208745153,0.00315518364009041,0.262606819311828,0.734002374960631,0.261582472562839,0.999011401333509,0.9905288754285,1.82382928052742,2.36826890365521,-28.7220267172754,-26.1232509183361,NaN,NaN
25,0.848639710088522,1.10437463882646,1.20838418981509,0.0212297366187675,0.0603504846290853,0.504520174363216,0.285148747145736,0.0578439204659889,0.0109487565661321,NaN,0.00037326943790836,0.0574706510280805,0.118483131961224,0.00105996409350156,NaN,-0.310397903995857,1,1,1,1,1.59872115546023e-14,0.989164437553982,0.010429283977617,0.000380983384190367,2.52950842092317e-05,0.479835073731451,0.006719301140653,0.00808429638946417,0.0069435127475459,0.00838069234000515,-58.8843306992643,-56.3268600482362,NaN,NaN
