t,price,births,fertility_rate,young_share,old_share,theta,average_age,n_home,young_homeownership_proxy,old_homeownership_proxy,aggregate_homeownership_proxy,age_share_15,age_share_25,age_share_35,age_share_45,age_share_55,age_share_65,age_share_75,age_share_85,boom_generation_age,parent_generation_age,child_generation_age,boom_generation_homeownership_proxy_level,parent_generation_homeownership_proxy_level,child_generation_homeownership_proxy_level,boom_generation_housing_burden_proxy_level,parent_generation_housing_burden_proxy_level,child_generation_housing_burden_proxy_level
12,-0.260375708035883,0.0824341398361739,0.231760077523372,0.187892341551278,0.45642025655846,0.582594379669922,54.5464078917256,0.161451661661644,0.42062042376064,0.736194706431361,0.547728338774573,0.0912248884249857,0.0966674531262924,0.105663591502645,0.117111991438639,0.132911818948977,0.142487650813911,0.146303591352251,0.167629014392298,7.5,32.5,-17.5,NaN,0.435766422120084,NaN,NaN,0.788820742983474,NaN
13,-0.286674188938703,0.0819004756392466,0.232982276497952,0.190255751424102,0.458213321544347,0.583853626676297,54.3643057519204,0.164542606265868,0.4238550068203,0.737446579502263,0.550068734459675,0.0912713479215441,0.0989844035025575,0.106495366127325,0.116406117048529,0.128629443855698,0.145688794537594,0.155396348868788,0.157128178137965,8.5,33.5,-16.5,NaN,0.445617103730865,NaN,NaN,0.770320970736919,NaN
14,-0.313743653039161,0.0820963156995185,0.234247038124635,0.187703908944347,0.461827131632406,0.587488832127513,54.6458574662701,0.164334615475421,0.427834508696965,0.737616051701138,0.550781797764806,0.0897190704136239,0.097984838530723,0.107891738788922,0.116078592362716,0.12649862827161,0.139499910105213,0.157202960872559,0.165124260654634,9.5,34.5,-15.5,NaN,0.455439181344726,NaN,NaN,0.751317053236288,NaN
15,-0.341839974361183,0.083280239634046,0.235567039379576,0.187838191991158,0.458630856253514,0.584592041829489,54.5913106400158,0.163996791338765,0.431694439185214,0.73798006541031,0.550421048711799,0.0906995199616722,0.0971386720294863,0.107711799900164,0.118602158798979,0.127216993056184,0.138357380774777,0.151806888674953,0.168466586803784,10.5,35.5,-14.5,NaN,0.464531199950025,NaN,NaN,0.730975353081949,NaN
16,-0.371485792303498,0.0843519445103084,0.236967903765217,0.190633408158657,0.453403007026571,0.579467695100115,54.3357525728414,0.165376555333564,0.435347459902832,0.738352320576151,0.551341998535908,0.0922134288819594,0.0984199792766979,0.107020616342115,0.118669351472449,0.130273617000208,0.139454497746158,0.15090053078865,0.163047978491763,11.5,36.5,-13.5,NaN,0.472889657809874,NaN,NaN,0.709285348531875,NaN
17,-0.402811361771288,0.0844528033983515,0.238457195089883,0.192093763149111,0.453742868593041,0.57955451726137,54.2519500908191,0.167632184144354,0.439493521745103,0.739259579490615,0.552691645548619,0.0927391254028603,0.0993546377462508,0.107664926268265,0.117073452487367,0.129424989502216,0.141794558027861,0.151020760767405,0.160927549797775,12.5,37.5,-12.5,NaN,0.481213985989729,NaN,NaN,0.687172432584048,NaN
18,-0.435494597726323,0.0847997175202761,0.240021011133023,0.192308992887862,0.454389781023731,0.580104453988179,54.2501193787073,0.16880474790866,0.443945078384957,0.739980474424978,0.553860909011367,0.0926274546577794,0.099681538230083,0.108426860902113,0.117495974514445,0.127378390671848,0.14053321850373,0.153186838552968,0.160669723967032,13.5,38.5,-11.5,NaN,0.48944637638164,NaN,NaN,0.66471961445311,NaN
19,-0.469713224376277,0.0857264839737414,0.241669282732414,0.192448603780582,0.452824957656428,0.614755171323698,54.243183737035,0.169252520918628,0.448623166467411,0.740398314836152,0.554485677649367,0.0929495786522263,0.0994990251283557,0.108715340835873,0.118253222693343,0.127757875033775,0.138224164038292,0.151728876830139,0.162871916787997,14.5,39.5,-10.5,NaN,0.497587909370729,NaN,NaN,0.641936015708027,NaN
20,-0.501303965965223,0.086613428699394,0.2432010188772,0.194068675874556,0.449792073149987,0.648220510225864,54.099560095907,0.170526201494018,0.452805780997281,0.740967697775899,0.55508455819417,0.0940906052401791,0.0999780706343765,0.108660864716117,0.118725815935324,0.128752570324016,0.138820666340532,0.149434698946792,0.161536707862663,15.5,40.5,-9.5,0.0378911809310872,0.505184246422316,NaN,0.605972662911522,0.621638086172659,NaN
21,-0.529919717298579,0.0871352724802744,0.244596885420162,0.195787388821345,0.447972292212223,0.683599365202461,53.9669088078747,0.172339912673135,0.45656377035248,0.741566773137273,0.556075428486309,0.094830591343323,0.100956797478022,0.108915843691688,0.118374856423314,0.12894961885143,0.139557869241537,0.149710955752077,0.15870346721861,16.5,41.5,-8.5,0.0741802951942982,0.51222846536393,NaN,0.589336736925005,0.603815720804516,NaN
22,-0.554942191964798,0.0874915077637707,0.24582403737063,0.196439618632763,0.447649264213712,0.717112029073693,53.9268669316074,0.173748701179668,0.459981495225557,0.74210322368274,0.556824184142483,0.0950568712075159,0.101382747425247,0.109584257179849,0.118223459184791,0.128103400788884,0.139265896495034,0.149961605840033,0.158421761878645,17.5,42.5,-7.5,0.112475704207894,0.518693971698587,NaN,0.575226906438692,0.588572710817821,NaN
23,-0.576355342685103,0.0880588695750519,0.246879068344414,0.196933844769659,0.446377877987641,0.747851582452094,53.8808799865716,0.174626780244045,0.462912059718557,0.742452643117754,0.557220332147957,0.0953794747212789,0.10155437004838,0.109970490567179,0.118866718712606,0.127851067962915,0.138256283788604,0.149544358851339,0.158577235347698,18.5,43.5,-6.5,0.152721493878817,0.524620578723969,NaN,0.563486864977531,0.575740074056539,NaN
24,-0.594230895307472,0.0886551971587396,0.247763267913741,0.197804787447007,0.444373014350453,0.775431901265069,53.8008038147098,0.175550377338823,0.46531305336528,0.742710025228282,0.557494532140138,0.09595325044577,0.101851537001237,0.110105314664929,0.119230078055603,0.128486805482008,0.137919647926136,0.148391045555851,0.158062320868466,19.5,44.5,-5.5,0.19473812034368,0.530056859189788,NaN,0.5539468752851,0.565181810283506,NaN
25,-0.608705005312736,0.08901677350249,0.248481537602608,0.198822908837003,0.442934083004972,0.805525373544633,53.713168759018,0.176714066733791,0.467233964240493,0.743011278154528,0.557850919182102,0.0964844477121993,0.102338461124803,0.110291941849887,0.11922970747354,0.128721358834599,0.138435298481247,0.147848010754098,0.156650773769627,20.5,45.5,-4.5,0.238235627156076,0.542635166249861,NaN,0.546431022611027,0.556421522026995,NaN
26,-0.619176441481066,0.089213509399015,0.249002474620079,0.199399866177075,0.44231650818774,0.837327862065102,53.6668117447591,0.17767197066123,0.468646163067756,0.743234077691913,0.558159964123391,0.0966921859034685,0.102707680273607,0.110606714591135,0.119202782607954,0.128474128436095,0.138422070108569,0.14811621364525,0.155778224433921,21.5,46.5,-3.5,0.282770709134927,0.562212973525602,NaN,0.541180770936766,0.549672959217937,NaN
27,-0.625224219235594,0.0893959539209842,0.249303839167284,0.199605625189927,0.441812035205591,0.869383304181121,53.6473349762582,0.178230282901505,0.469489445221018,0.74333077384287,0.558195258497276,0.0967947985825808,0.102810826607346,0.110878514313352,0.119405950502199,0.128297874788931,0.137997834567081,0.147932285575523,0.155881915062987,22.5,47.5,-2.5,0.32779441991376,0.581223161021231,NaN,0.538354022913853,0.545377171609637,NaN
28,-0.62666901903198,0.0895688217565329,0.249375888403668,0.199893844556313,0.440934214924936,0.900216036013282,53.6143451723961,0.178609463319999,0.469685065678195,0.743323008541677,0.558046219258927,0.0969836087547003,0.102910235801613,0.110979409283849,0.119688095376984,0.128504435857918,0.137795531490735,0.147465008185404,0.155673675248797,23.5,48.5,-1.5,0.372708011206196,0.599759420811284,NaN,0.538011249587532,0.543592930012267,NaN
29,-0.62356305235635,0.0896049395081294,0.249221025868618,0.200197624106717,0.440262328275605,0.895223049189104,53.5813278976155,0.178964775677517,0.46924850249577,0.743254497965774,0.557833089301021,0.0971301521699094,0.103067471936807,0.111039848843498,0.11974646385395,0.12875373492023,0.137959153787716,0.147186701458833,0.155116473029057,24.5,49.5,-0.5,0.416925497554662,0.617935829806462,NaN,0.540121764134461,0.544277321596423,NaN
30,-0.621112825703855,0.0895776572003849,0.249098926188261,0.200263911259803,0.440129331011002,0.891498849377816,53.5693521309639,0.179173761264662,0.468915629372144,0.743224113395381,0.557769109478875,0.0971069537873639,0.103156957472439,0.11113812974867,0.119734780490277,0.128733847490248,0.138138078379683,0.14726689562286,0.154724357008458,25.5,50.5,0.5,0.441734019422514,0.63615182995023,NaN,0.542313246303894,0.544592250983143,NaN
31,-0.619162896535975,0.0895551212120909,0.249001800076024,0.2001317226197,0.440211756083071,0.887292051410561,53.5749751705767,0.179182596708514,0.468666652366063,0.743185901228545,0.55771731975292,0.0970395743772949,0.103092148242405,0.111191295042079,0.119794077666657,0.128671148588493,0.138062943118232,0.147400454967873,0.154748357996966,26.5,51.5,1.5,0.447448703873692,0.654418187662291,NaN,0.544665362805841,0.544622283545711,NaN
32,-0.617809353718357,0.0895482622479004,0.248934402279403,0.200046148397968,0.440227508324689,0.886178031275371,53.5807826123642,0.179132778412476,0.468483625352143,0.743148427755561,0.557661691946843,0.0970201911242096,0.103025957273759,0.111127199556628,0.119857597729432,0.128741545991283,0.138002855299316,0.147327919978215,0.154896733047159,27.5,52.5,2.5,0.453208190654364,0.672759909924056,NaN,0.546694066871506,0.544322525094657,NaN
33,-0.616604558912457,0.0895234983075284,0.248874426530565,0.200051152616677,0.440235318132724,0.887064900847203,53.5807668183993,0.179103383459991,0.468313426794714,0.7431254109948,0.557635597264651,0.0970287728284634,0.103022379788213,0.111074179923184,0.1198082782683,0.128831071059115,0.138101148664865,0.147288106435345,0.154846063032514,28.5,53.5,3.5,0.458948130981128,0.691178863919956,NaN,0.54864390744323,0.543939769705273,NaN
34,-0.615250953965985,0.089468447648179,0.248807060118766,0.200027962860745,0.440382371132704,0.890997485376147,53.5840573332359,0.179071760555429,0.468127657285466,0.743112193192738,0.557619195981299,0.0969992877684093,0.103028675092336,0.111067285844758,0.119747842331553,0.12877453783024,0.138193403382488,0.147388982937836,0.15479998481238,29.5,54.5,4.5,0.464628667964633,0.709691972540418,NaN,0.550677021695659,0.54363516954281,NaN
35,-0.613305984710824,0.0894184727877868,0.248710294524118,0.199939550338186,0.440531814311676,0.893344795220733,53.5918465729835,0.178991945955707,0.467868646184073,0.743075489010834,0.557559861698899,0.0969408732565919,0.102998677081594,0.111075485788351,0.119741933198147,0.128711216363639,0.138134519082876,0.147489318424923,0.154907976803876,30.5,55.5,5.5,0.47019287965881,0.721226602535069,NaN,0.553036049220396,0.544040102125871,NaN
36,-0.610998920742907,0.0893851179561278,0.248595562883687,0.199857618416214,0.440581989920846,0.894738514959634,53.5974189150234,0.178886920435966,0.467559675315207,0.743025887928228,0.557466638317287,0.0969033282328046,0.102954290183409,0.111062174627913,0.119771295603471,0.128726921431556,0.13809025595157,0.147451738016319,0.155039995952957,31.5,56.5,6.5,0.475677597061795,0.725720463901858,NaN,0.555598381145597,0.545033810947247,NaN
37,-0.608463341262931,0.0893479618928883,0.248469528081902,0.199816880008242,0.440589883015685,0.896131284862415,53.5989527804597,0.178803590743915,0.467214510627689,0.742975588727483,0.557379847051566,0.0968842886332204,0.102932591375022,0.111033918478446,0.119778092022258,0.12878122647537,0.138131495835722,0.147430521692544,0.15502786548742,32.5,57.5,7.5,0.48110501904131,0.730242109292446,NaN,0.558295361537439,0.546154459824781,NaN
38,-0.605693173395275,0.0892893266545459,0.248331905748562,0.199761789943685,0.440681807565883,0.898846871067065,53.6026995049665,0.178733079849016,0.466837940854775,0.742926456536788,0.557301730409622,0.0968466369012109,0.102915153042474,0.111013521915332,0.119750860030746,0.128792020544354,0.138193509194461,0.147478543218396,0.155009755153026,33.5,58.5,8.5,0.486478110918913,0.734793759347663,NaN,0.561131988262454,0.547405968653506,NaN
39,-0.602496820534054,0.0892189178163573,0.248173205200767,0.199667294159105,0.440830084499558,0.901902588062037,53.6099294304835,0.178637288547434,0.466406942547445,0.742868482494521,0.557206472863066,0.0967874704402913,0.102879823718813,0.110999748991691,0.119734292793598,0.128768579556048,0.13821136080815,0.147551445139443,0.155067278551965,34.5,59.5,9.5,0.491776467687633,0.739373883559552,NaN,0.564215122176412,0.548894016780525,NaN
40,-0.598825690559216,0.089148309976126,0.247991056859461,0.199555936438842,0.440962108424981,0.904048835673189,53.6180151175104,0.178508244470903,0.465912241426119,0.742797199673023,0.557086189915592,0.096724631393389,0.102831305045453,0.110977113421888,0.11973612792456,0.12876871378973,0.138205469876505,0.147591078292642,0.155165560255833,35.5,60.5,10.5,0.496112969593039,0.743985123285021,NaN,0.566710672869612,0.550647331769773,NaN
41,-0.594808534234637,0.0890744455316187,0.247791893108866,0.199449037018354,0.441078163391369,0.90619226722705,53.6252458425248,0.178367227792483,0.465369322446051,0.742719572327529,0.556956330783112,0.0966657308365469,0.102783306181807,0.11094503015781,0.119733569363686,0.128794200068781,0.13823084938338,0.147611735583956,0.155235578424033,36.5,61.5,11.5,0.499522196237703,0.748633260607659,NaN,0.568544389942245,0.552597535057498,NaN
42,-0.590443415670835,0.0889884936821572,0.247575659312701,0.199337379419469,0.441223029753228,0.908802753166878,53.6329639094418,0.178222755507745,0.464778745985893,0.742637960531724,0.556823347429399,0.0966006729907976,0.102736706428671,0.110910506460891,0.119717587818746,0.128811496547667,0.138279730694972,0.147661824935833,0.155281474122424,37.5,62.5,12.5,0.502900062401079,0.753321073196676,NaN,0.570582330531928,0.554747836863761,NaN
43,-0.585662873122091,0.0888903131585151,0.247339063241808,0.199203629206972,0.441409899471219,0.911614551028633,53.642760888703,0.178062939213776,0.464133047756368,0.742548895385512,0.556679542528136,0.0965213202372518,0.10268230896972,0.110876144997542,0.119697524123439,0.128812802200828,0.13831816499103,0.147735257584603,0.155356476895586,38.5,63.5,13.5,0.50624455980154,0.758050474805418,NaN,0.572864250136784,0.557138090617452,NaN
44,-0.580439166178638,0.0887852277772171,0.247080792821789,0.199050309272378,0.44161286505516,0.914114831591746,53.6539953132669,0.177878806840672,0.463428434283547,0.742450204867352,0.556518975154418,0.0964330059502319,0.102617303322146,0.110838330333382,0.119683000008828,0.128815495330253,0.138345644501867,0.147804180392096,0.155463040161197,39.5,64.5,14.5,0.509558968273794,0.762824200741944,NaN,0.575408298578827,0.559786914307123,NaN
45,-0.574817092898897,0.0886745737889839,0.246803127691763,0.198888105100275,0.441819147606298,0.916269442469069,53.6656692412129,0.177675540935732,0.462669817186024,0.74234338561764,0.556345894239768,0.0963411358642249,0.10254696923605,0.110793613643198,0.119669673147254,0.128829460502975,0.138380326696776,0.147867513705352,0.15557130720417,40.5,65.5,15.5,0.512854531619943,0.763569879448791,0.0380994250077716,0.578192599920372,0.562807800936508,0.563032764619991
46,-0.568845551778221,0.0885556157057341,0.246508544633118,0.198717553840023,0.442042908084198,0.918473669797269,53.6779816273916,0.177459801566201,0.461863807129514,0.742230713525842,0.556165685348885,0.096243932037887,0.102473621802136,0.110743987825926,0.119649821851384,0.12884572839847,0.138428218802892,0.147939732846453,0.155674956434852,41.5,66.5,16.5,0.516142204692365,0.760249331544389,0.0745352905615703,0.581192805686536,0.566178685533886,0.566856614202409
47,-0.562518548030633,0.0884270669370472,0.246196809812312,0.198533088666138,0.442294641780655,0.920635541594666,53.691531170967,0.177230189494718,0.461010246244574,0.742112013900387,0.555977423104817,0.0961380818406397,0.102395006825499,0.110691561161933,0.119625174617322,0.128855533773953,0.138479206225867,0.148026751013293,0.155788684541495,42.5,67.5,17.5,0.51942686447171,0.756925610360758,0.112617590256538,0.584415613689881,0.569772256479646,0.570907537130718
