t,birthrate_index,average_age,average_age_dev,house_price_index,house_price_dev,young_homeownership,young_homeownership_dev,old_homeownership,old_homeownership_dev,aggregate_homeownership,aggregate_homeownership_dev,boom_generation_homeownership_index,child_generation_homeownership_index,parent_generation_homeownership_index,boom_generation_networth_index,child_generation_networth_index,parent_generation_networth_index,boom_generation_consumption_index,child_generation_consumption_index,parent_generation_consumption_index,boom_generation_housing_index,child_generation_housing_index,parent_generation_housing_index
19,1,46.9262999537403,-0.0728620472230048,1.00186287585878,0.0195214931306884,0.382830493018604,-0.000684533820022259,0.727525088681686,0.00289119714939889,0.481889667652076,0.00113952918406279,1.00847205364243,NaN,1.00657281887631,1.00585654977009,NaN,1.0058003348383,1.00023627148025,NaN,1.00254947296841,1.00434436336978,NaN,1.00657798448869
20,1,46.9516512327219,-0.0475107682413309,1.00357785126048,0.0212364685323942,0.38221013096189,-0.00130489587673571,0.727186740995734,0.00255284946344725,0.481474313233404,0.000724174765390717,1.00619699100825,NaN,1.00616135394365,1.00543797397879,NaN,1.00631750593083,1.00053208794013,NaN,1.00306940988562,1.00341915723311,NaN,1.00616662249254
21,1,46.9771937318014,-0.0219682691619028,1.00594085908151,0.0235994763534253,0.381969038628111,-0.0015459882105151,0.726782132977073,0.00214824144478587,0.480465966044697,-0.000284172423316464,1.00455279286773,NaN,1.005275349743,1.00534153612645,NaN,1.00710617398421,1.00088893231437,NaN,1.00363174953823,1.00272320909634,NaN,1.00528081042487
22,1,47.0025430428768,0.00338104191350652,1.00769242111453,0.0253510383864457,0.381872838147209,-0.00164218869141658,0.725775398945542,0.00114150741325558,0.478981627360919,-0.00176851110709447,0.989724616425787,NaN,1.00433705537583,1.00448164296206,NaN,1.00767502831671,1.00272589966389,NaN,1.0041725275243,0.994075717735276,NaN,1.00434274763088
23,1,47.0274353911932,0.0282733902299412,1.00896849097873,0.0266271082506366,0.381790706121413,-0.00172432071721296,0.725730223581503,0.001096332049216,0.478522612971712,-0.00222752549630184,0.982742732841947,NaN,1.003832906779,1.00392482641742,NaN,1.00810571583379,1.00375733736692,NaN,1.00453791634561,0.989483383502258,NaN,1.00383879472832
24,1,47.0517449333388,0.0525829323755502,1.01044774384906,0.0281063611209695,0.381726490988438,-0.0017885358501879,0.725326498859852,0.000692607327564931,0.477886369721268,-0.00286376874674532,0.980064723555089,NaN,1.0032727200861,1.00382944456109,NaN,1.00865647025122,1.00453965641358,NaN,1.00506299201905,0.987391360158994,NaN,1.00327673341438
25,1,47.0753515012011,0.0761895002378807,1.01116228566684,0.0288209029387474,0.381688281716414,-0.00182674512221165,0.724920325756066,0.000286434223779608,0.477373038139971,-0.00337710032804278,0.978754398113345,NaN,1.00314227581863,1.0035717445684,0.997388196456104,1.00893867381328,1.00497815459274,1.00020413357869,1.00537563222425,0.986144933112596,NaN,1.00314727736846
26,1,47.0980241709361,0.0988621699728469,1.01172208401101,0.0293807012829184,0.381655500994364,-0.00185952584426191,0.724488346266663,-0.000145545265623492,0.476895265468788,-0.0038548729992256,0.978025849267785,NaN,1.00292048745283,1.00335757567394,0.995690653190636,1.00914148968292,1.00526729890784,1.0003793337296,1.00585448379353,0.98528549925473,NaN,1.00292559429683
27,1,47.1194628460284,0.120300845065103,1.01199374949909,0.0296523667709963,0.381636059572755,-0.00187896726587128,0.723743056157795,-0.000890835374491528,0.476367136459204,-0.00438300200880987,0.97724854763317,NaN,1.00259657867131,1.00309494387594,0.995155852392532,1.00918751497756,1.00559465626965,1.00039018483414,1.00615471323016,0.984420558411187,NaN,1.00260182725761
28,1,47.1394169531097,0.140254952146464,1.01207646264327,0.0297350799151848,0.381623853988863,-0.00189117284976265,0.723166302029995,-0.00146758950229187,0.475962515334249,-0.00478762313376491,0.977127639346745,0.986409884940722,1.00263443950903,1.00287335777552,0.994814091037949,1.00912845166112,1.00566808190241,1.00041496393096,1.00627551248376,0.98405222439199,0.986409884940722,1.00263977058878
29,1,47.1577719861838,0.158609985220501,1.01200386745609,0.0296624847279998,0.38161630452319,-0.00189872231543564,0.722617874673068,-0.00201601685921815,0.475583676675432,-0.00516646179258107,0.977208870822313,0.898587715982447,1.002240122588,1.00264113591779,0.993950832177657,1.00881968671034,1.00578512750846,1.00053375836191,1.00680845596998,0.983880967021796,0.898587715982447,1.0022456313419
30,1,47.1743986191369,0.175236618173628,1.01193125762496,0.0295898748968748,0.381611194186154,-0.00190383265247202,0.722077672951482,-0.00255621858080513,0.475242832970869,-0.00550730549714484,0.984056193595309,0.904435305140241,1.00168869472393,1.00280910936632,0.993609058371542,1.00863560970682,1.00464963050034,1.00070888251086,1.00554735526594,0.988599780818109,0.904435305140241,1.00169441751264
31,1,47.1893591568331,0.190197155869846,1.01204764493735,0.0297062622092605,0.381608278064944,-0.00190674877368213,0.721555951341644,-0.00307794019064256,0.474937251827971,-0.00581288664004248,0.985267392384826,0.931086812393009,NaN,1.00271979412495,0.993750994218023,NaN,1.00428459738154,1.00078827264467,NaN,0.989353875452468,0.931086812393009,NaN
32,1,47.202862533135,0.203700532171759,1.01159852990394,0.0292571471758469,0.381607561435812,-0.00190746540281356,0.721295213830675,-0.00333867770161167,0.474752319088065,-0.00599781937994864,0.986604255406724,0.948850361047252,NaN,1.0024118852135,0.994214590778144,NaN,1.00375426644066,1.00078926671908,NaN,0.99023025421034,0.948850361047252,NaN
