t,price,births,fertility_rate,young_share,old_share,theta,average_age,n_home,young_homeownership_proxy,old_homeownership_proxy,aggregate_homeownership_proxy,age_share_15,age_share_25,age_share_35,age_share_45,age_share_55,age_share_65,age_share_75,age_share_85,boom_generation_age,parent_generation_age,child_generation_age,boom_generation_homeownership_proxy_level,parent_generation_homeownership_proxy_level,child_generation_homeownership_proxy_level,boom_generation_housing_burden_proxy_level,parent_generation_housing_burden_proxy_level,child_generation_housing_burden_proxy_level,birthrate_index,average_age_dev,house_price_index,house_price_dev,fertility_rate_dev,n_home_dev,young_homeownership_proxy_dev,old_homeownership_proxy_dev,aggregate_homeownership_proxy_dev,boom_generation_homeownership_proxy_index,boom_generation_housing_burden_proxy_index,parent_generation_homeownership_proxy_index,parent_generation_housing_burden_proxy_index,child_generation_homeownership_proxy_index,child_generation_housing_burden_proxy_index
46,-0.498123990799873,0.087076128931443,0.243046393412882,0.196452103743281,0.445278317726007,0.921476400690231,53.8515751755152,0.174560024593455,0.452343194144119,0.740903786417024,0.554149795690204,0.0949726814374167,0.101479422305864,0.110053617123695,0.119309015269149,0.128906946137869,0.138960571124957,0.149011051192791,0.157306695408259,41.5,66.5,16.5,0.509030477277416,0.759662325490197,0.0738914796509857,0.623522895653571,0.607669584793349,0.608385308851842,0.9832931343483923,0.1735935481235984,0.6076695847933495,0.04149089925946314,-0.0034621512202359928,-0.0028997769727460154,-0.009520612985395027,-0.001326927108817988,-0.002015889658681047,0.9862213797858522,1.0728331279273708,0.9992278769216415,1.073282340574758,0.9913623344628574,1.0732613744092334
47,-0.490908727420526,0.0869329614405808,0.242695917602854,0.196238129551483,0.445564821650863,0.923316498770698,53.8673458784307,0.174289277354378,0.451373941155562,0.740767182629733,0.553937927728166,0.0948527209827417,0.101385408568742,0.109989631490866,0.119282870523127,0.12892454678366,0.139015169798551,0.149100294370367,0.157449357481946,42.5,67.5,17.5,0.512496844470976,0.756365216581733,0.11128274364982,0.627541483923545,0.612069936653884,0.613269272271535,0.9831035275937617,0.17581470746370087,0.6120699366538838,0.04229768017423752,-0.003500892209458012,-0.0029409121403400074,-0.009636305089011976,-0.00134483127065399,-0.002039495376651046,0.9866583334926615,1.0737931520367432,0.9992596448430937,1.0742361174894253,0.9881470860486601,1.0742006934322847
48,-0.483409588902526,0.0867813749590108,0.242332188375852,0.196015204741644,0.445875641288208,0.925087316167958,53.8839998641791,0.174009090372024,0.45036669089891,0.740626267005204,0.553721515192498,0.0947262893973789,0.101288915344265,0.109921991344121,0.119250684012232,0.128936478613794,0.139077494766219,0.149205377591496,0.157592768930493,43.5,68.5,18.5,0.515979489811839,0.753067914774811,0.149827729058231,0.631765295943813,0.616677187506212,0.618365738932676,0.9829012551299219,0.17763938398140056,0.616677187506212,0.04308909851324039,-0.003536178177357019,-0.0029735922707569973,-0.009743724232987971,-0.0013601852909340684,-0.00205768471925194,0.987114903524487,1.0746869823456882,0.9992945001218165,1.0751220245679962,0.9851968726580792,1.075071904285072
49,-0.475637767065441,0.086623016106612,0.241955808448715,0.195778077970816,0.446210198061944,0.926518962892236,53.9019278828791,0.173714336399592,0.44932382326611,0.740480117278322,0.553498643241712,0.0945915812648959,0.10118649670592,0.109852756748644,0.119215747699642,0.128943219518954,0.139135181328496,0.149320366866658,0.15775464986679,44.5,69.5,19.5,0.519484010941503,0.749771233479137,0.189264966407429,0.636190647715665,0.621488565105521,0.623672228436775,0.9826821014293341,0.17988883541460154,0.6214885651055215,0.043886093425699046,-0.0035698431131959973,-0.003003771479854006,-0.00984679020832202,-0.0013747819602200062,-0.0020738953585339726,0.9875831881606681,1.07555334069867,0.9993320428630196,1.0759797535112088,0.9825280076841907,1.0759146922872775
50,-0.467639252595859,0.0864606902205546,0.24156906046515,0.195529941171343,0.446557128861254,0.927473894234529,53.9207030098418,0.173404391065623,0.448251381023133,0.740329324860405,0.553269293062415,0.0944519965043429,0.101077944667,0.109780064553335,0.11918233281934,0.128950532594728,0.139191125130426,0.14943455339435,0.157931450336478,45.5,70.5,20.5,0.530709660952497,0.746476197373734,0.229329205099983,0.640454824435546,0.626479483745356,0.629164348876073,0.9824776051144871,0.1823426533696022,0.6264794837453567,0.04468944605844505,-0.003602123744118002,-0.003036231496931996,-0.009945986651483996,-0.0013894854023179803,-0.0020912023734079854,0.9883389571566805,1.0764054837357746,0.9993722386052146,1.0768137011010397,0.9801552851810085,1.0767333647626487
51,-0.459476565483552,0.0862954593537568,0.241175011671051,0.195276075738763,0.446911318569487,0.928235938233807,53.9399130201344,0.173083706327167,0.447157266709605,0.74017520642035,0.553036930488253,0.0943099115352404,0.100966164203522,0.109702903543965,0.119147573413972,0.128962128733813,0.139250567599036,0.149549999243518,0.158110751726934,46.5,71.5,21.5,0.549597415425354,0.743183844023609,0.26976071815421,0.644514013088125,0.631614167652457,0.634806464553488,0.9823040865424398,0.1844396830720001,0.6316141676524567,0.04547732516145475,-0.0036314499409890177,-0.0030685837216249956,-0.010037568744086012,-0.0014036992862450637,-0.0021073774970730152,0.9893576588551866,1.0772086011060404,0.999415350206491,1.0775882385556632,0.9780989090607345,1.0774923391259128
52,-0.451175511888341,0.0861262847162814,0.240774942522946,0.195017336281738,0.447278145906681,0.928861650009699,53.9596181810793,0.172756149574311,0.446045056740413,0.740018918508503,0.552802937631616,0.0941651103575527,0.100852225924185,0.109622830858929,0.119108643324235,0.128973043628418,0.13931550794624,0.14967017947478,0.158292458485661,47.5,72.5,22.5,0.568462759984942,0.739894893029511,0.310308999073365,0.648688879822569,0.63687905252291,0.640585204251341,0.9821408507609036,0.18620037678069679,0.6368790525229097,0.04624434629758434,-0.0036575229099269913,-0.003096605022312987,-0.010120778819735998,-0.0014163991256700426,-0.0021206916122469277,0.9903504747514836,1.0779464278665924,0.9994613590570665,1.0782960191979354,0.9763688157135092,1.0781844259893774
53,-0.442754501909054,0.0859535485407951,0.240369770176008,0.194752563237472,0.447658591551848,0.929272328952144,53.979930126358,0.172421744070038,0.444917470941047,0.739860636505602,0.552567422432303,0.0940165574391858,0.100736005798286,0.109541125883839,0.119067360237421,0.12898035908942,0.139380742920685,0.149797417021672,0.15848043160949,48.5,73.5,23.5,0.587336817963997,0.73660997748196,0.350738965958149,0.652969470516718,0.642264862532582,0.646491419414176,0.9819760853745854,0.18791729181519656,0.6422648625325815,0.04699696174781054,-0.0036810030462159915,-0.00312069840705001,-0.010197124695603021,-0.0014277592124389837,-0.0021315236979581043,0.9913125225217339,1.078632680680651,0.9995100935253481,1.0789509424006445,0.9749636813715238,1.0788235718856782
54,-0.434241466138343,0.0857788443796259,0.239960863088513,0.194481784019391,0.448048071576332,0.929448264192256,54.0007819048795,0.172079833257077,0.443778460090099,0.739700427829051,0.552330211542042,0.0938650154331196,0.100616768586271,0.109458061533864,0.119025557966742,0.128986524903671,0.139443643293495,0.149926689128298,0.158677739154539,49.5,74.5,24.5,0.606249086446839,0.733329732427236,0.390837298941309,0.657339278611021,0.647755825502066,0.652509366336927,0.9818198412815358,0.18970989644430603,0.6477558255020655,0.047737597628554895,-0.0037022519572879886,-0.0031437665313900076,-0.010267245725860963,-0.0014384754937820654,-0.0021413551075170068,0.9922402697089838,1.079274205516051,0.9995614467520916,1.0795602456907685,0.9738787917217652,1.0794169397993587
55,-0.425666295237838,0.085603175563633,0.239549674708281,0.194207823755594,0.448441761688932,0.929480829704526,54.021902518194,0.171732392920421,0.442631840217035,0.739538915815706,0.552092070644103,0.0937123536491367,0.100495470106458,0.109372993978156,0.118983704935218,0.1289937156421,0.139507061629416,0.150055392181113,0.158879307878402,50.5,75.5,25.5,0.62522680177992,0.722623993984615,0.413280996050156,0.661780203570578,0.653334326523481,0.659123524969246,0.9816830352201167,0.19136182107459376,0.6533343265234809,0.04845964153141569,-0.0037209100302839915,-0.003166004389193011,-0.010330259747914017,-0.0014484982870780483,-0.002150314651107932,0.9931318174264427,1.0798622045712232,0.9995941394434051,1.0801151754797802,0.9737033693177478,1.0799408291142871
