state_fips,year,first_births_total,n_counties_with_fertility,mean_age_first_birth,share_first_birth_30_plus,female_pop_15_44,native_female_pop_15_44,foreign_born_female_pop_15_44,net_migration_rate,international_migration_rate,n_counties_with_population,foreign_born_share_15_44,first_birth_rate_15_44,permits_total_pc,real_rent_index,housing_stock_growth,housing_demand_shifter,n_metros_housing,unemployment_rate,n_metros_controls
42,2013,56204,31,26.406145445235214,0.30124186340829834,2367622.0,2179180.045784695,188441.95421530507,-0.0012827262962962964,0.0013197601851851852,54.0,0.07959123298199842,23.738586649389134,,,,,,,
42,2014,55992,32,26.642386466298756,0.3167060831547364,2361478.0,2165085.0,196393.0,-0.0010954774074074074,0.0015470111111111112,54.0,0.08316528885723264,23.710574479203277,,,,,,,
42,2015,54350,32,26.76348658090156,0.32366140362465506,2356306.0,2156208.0,200098.0,-0.0017518462962962961,0.0014361922222222222,54.0,0.08492020985389843,23.065764803043407,,,,,,,
42,2016,53208,32,27.005628730980305,0.33876488349496314,2344278.0,2140912.0,203366.0,-0.0026335212962962963,0.0017211372222222224,54.0,0.08674995030452873,22.696966827313144,,,,,,,
42,2017,52320,32,27.14039560510321,0.34741969770642206,2336553.0,2128977.0,207576.0,-0.00044540740740740733,0.0014213181481481482,54.0,0.08883855833785922,22.391959437684488,,,,,,,
42,2018,51314,32,27.287650562672955,0.36070076567798265,2328927.0,2115436.0,213491.0,0.00019658055555555554,0.0016413277777777779,54.0,0.09166925369494192,22.033322641714403,,,,,,,
42,2019,50902,32,27.382038088778433,0.36656710368944245,,,,,,,,,,,,,,,
42,2020,49602,32,27.562779674226846,0.38347233579291157,,,,,,,,,,,,,,,
42,2021,49679,32,27.765756115340487,0.3972100060588981,,,,,,,,,,,,,,,
42,2022,49285,32,27.926549651739883,0.40728416295018766,,,,,,,,,,,,,,,
42,2023,48445,32,27.936907781628648,0.4077819509959748,,,,,,,,,,,,,,,
42,2024,48466,32,28.080602850575666,0.42085181492180085,,,,,,,,,,,,,,,
44,2007,5118,4,25.979191245408362,0.2942554831965612,,,,,,,,,,,,,,,
44,2008,4942,4,25.992311121205994,0.2976530064751113,,,,,,,,,,,,,,,
44,2009,4612,4,25.99945817237641,0.29423219384215094,,,,,,,,,,,,,,,
44,2010,4741,4,26.43092187428812,0.31596677452014343,219234.0,185854.30376932252,33379.69623067749,0.000220236,0.000966238,5.0,0.15225601973543104,21.62529534652472,,,,,,,
44,2011,4596,4,26.64218859312446,0.331157362924282,216939.0,183271.25838223725,33667.74161776273,-0.003575246,0.0023312380000000002,5.0,0.1551945091374199,21.185678923568375,,,,,,,
44,2012,4685,4,26.58900778783351,0.32806836243329773,214773.0,181156.75202084135,33616.247979158674,-0.00035982200000000004,0.002792946,5.0,0.15651989765547195,21.81372891378339,,,,,,,
44,2013,4381,4,27.05135802122803,0.35790936863729744,212875.0,179087.74928124546,33787.25071875456,0.001097736,0.002092892,5.0,0.1587187350264454,20.580152671755727,,,,,,,
44,2014,4382,4,27.155750931309903,0.3594245481515289,211980.0,178965.0,33015.0,0.00029452,0.001906218,5.0,0.15574582507783752,20.67176148693273,,,,,,,
44,2015,4488,4,27.505013490641712,0.3885916147504457,210986.0,177731.0,33255.0,0.00043422200000000006,0.002602424,5.0,0.1576170930772658,21.271553562795635,,,,,,,
44,2016,4184,4,27.476099669216058,0.3800193068833652,209789.0,177245.0,32544.0,0.00018230200000000002,0.0022385079999999997,5.0,0.15512729456739868,19.94384834285878,,,,,,,
44,2017,4216,4,27.762096952087287,0.39255216129032255,209420.0,177800.0,31620.0,0.00038377199999999994,0.0010347219999999999,5.0,0.15098844427466335,20.131792569955113,,,,,,,
44,2018,4063,4,27.98781685527935,0.4139797408318976,208571.0,177346.0,31225.0,-0.00010724800000000003,0.001053102,5.0,0.14970921173125698,19.480177014062356,,,,,,,
44,2019,3977,4,28.00088029670606,0.40583372265526785,,,,,,,,,,,,,,,
44,2020,4092,4,28.32123677223851,0.44257069012707717,,,,,,,,,,,,,,,
44,2021,4275,4,28.66362589497076,0.4680700161403509,,,,,,,,,,,,,,,
44,2022,4259,4,28.94893173914064,0.4886127250528293,,,,,,,,,,,,,,,
44,2023,4011,4,28.79306875417602,0.48092747045624534,,,,,,,,,,,,,,,
44,2024,4138,4,29.112373076607057,0.5084583583856935,,,,,,,,,,,,,,,
45,2007,25311,15,24.067065709770453,0.17510162000711155,,,,,,,,,,0.23196911199999998,-0.04090304,-0.04090304,5.0,0.027195358000000003,5.0
45,2008,25561,15,24.045460007707053,0.171941593834357,,,,,,,,,,0.23957648599999998,-0.00888311,-0.00888311,5.0,0.034731398000000004,5.0
45,2009,24877,15,24.265144423362944,0.1802870888772762,,,,,,,,,,0.247319476,0.13824314,0.13824314,5.0,0.053254868,5.0
45,2010,23813,15,24.418237991895182,0.18914054999370092,861152.0,804687.1245551438,56464.87544485625,0.0006099364705882353,0.00019421558823529413,34.0,0.06556899994989995,27.652493404184163,,0.27166893999999997,-0.06364594,-0.06364594,5.0,0.056209284000000005,5.0
45,2011,23375,15,24.69888771550802,0.20192503709090906,866631.0,808980.6128439518,57650.38715604822,0.0012228535294117647,0.00042612058823529407,34.0,0.06652241514098645,26.972263858551102,,0.286904338,0.51008454,0.51008454,5.0,0.050928416,5.0
45,2012,22955,15,24.82798943415378,0.20980163184491396,870672.0,812279.5965958983,58392.40340410176,0.0025504411764705882,0.0008685635294117647,34.0,0.0670659024340989,26.364693018725767,,,,,,,
45,2013,22534,15,25.13228889278424,0.22321823453448122,873248.0,814534.8890317342,58713.110968265784,0.004910381764705882,0.0008378661764705882,34.0,0.0672353225753346,25.804811462494044,,,,,,,
45,2014,22636,16,25.386375618616363,0.23471465197031277,877362.0,821740.0,55622.0,0.0060723355882352946,0.0010344055882352942,34.0,0.06339686469211113,25.80006884273538,,,,,,,
45,2015,22345,16,25.529715866547324,0.24247039471917656,883140.0,826875.0,56265.0,0.007801924117647058,0.0011677123529411763,34.0,0.06371017052788912,25.301764159702877,,,,,,,
45,2016,21705,16,25.76381015240728,0.25349008191660904,889536.0,833461.0,56075.0,0.0071235173529411765,0.0007961638235294118,34.0,0.06303848298438737,24.40036153680121,,,,,,,
45,2017,21236,16,25.825414497928048,0.2547561098135242,897570.0,840049.0,57521.0,0.00817687411764706,0.0008791932352941176,34.0,0.06408525240371224,23.659436032844233,,,,,,,
45,2018,21526,16,25.878565217597323,0.2572238700641085,906414.0,849022.0,57392.0,0.007677845294117647,0.0008463967647058823,34.0,0.06331764513787298,23.748529921205982,,,,,,,
45,2019,21386,16,25.932338865987095,0.2616665450294585,,,,,,,,,,,,,,,
45,2020,21001,16,26.087234081758012,0.2721775476882053,,,,,,,,,,,,,,,
45,2021,22135,16,26.40792865543257,0.2939237011068444,,,,,,,,,,,,,,,
45,2022,22693,16,26.535825999118675,0.29996035477900673,,,,,,,,,,,,,,,
45,2023,22759,16,26.598093104530076,0.30423129684959793,,,,,,,,,,,,,,,
45,2024,23237,16,26.5956662865258,0.30468634879717693,,,,,,,,,,,,,,,
46,2007,4472,2,24.180344257826473,0.1375219785330948,,,,,,,,,,0.2777778,0.04819277,0.04819277,1.0,0.02119701,1.0
46,2008,4437,2,24.238336805499213,0.14649510908271354,,,,,,,,,,0.27728984,0.0270453,0.0270453,1.0,0.01306413,1.0
46,2009,4314,2,24.283147622392214,0.1520632093184979,,,,,,,,,,0.24605264,0.10138249,0.10138249,1.0,0.01872659,1.0
46,2010,4329,2,24.56745200993301,0.1568494067914068,117012.0,112431.93263636665,4580.067363633345,0.00114645,0.0001270104761904762,21.0,0.039141860353069304,36.99620551738283,,0.27395412,-0.07949791,-0.07949791,1.0,0.02843016,1.0
46,2011,4292,2,24.70887690773532,0.1700843448275862,117602.0,112837.06685811548,4764.933141884523,0.0028482128571428573,0.00124965,21.0,0.04051744988932606,36.49597795955851,,0.28947368,0.01493506,0.01493506,1.0,0.01923077,1.0
46,2012,4351,2,24.752470340611353,0.1693865359687428,117845.0,112943.28622388717,4901.713776112823,0.00617368,0.001993626666666667,21.0,0.04159458420902731,36.921379778522635,,,,,,,
46,2013,4260,2,25.0224175370892,0.1802816985915493,119232.0,113891.13030437643,5340.869695623565,0.003687052380952381,8.662666666666666e-05,21.0,0.04479392860661203,35.72866344605475,,,,,,,
46,2014,4214,3,25.206573274086377,0.19269138870431896,120710.0,114879.0,5831.0,-0.0024889890476190476,0.0009677961904761905,21.0,0.04830585701267501,34.910115152017234,,,,,,,
46,2015,4021,3,25.21860197015668,0.19099754016413825,122068.0,116105.0,5963.0,-0.0018251942857142858,0.001563821904761905,21.0,0.04884982141101681,32.94065602778779,,,,,,,
46,2016,4060,3,25.421428261822662,0.19926084285714285,122844.0,116251.0,6593.0,0.005822202380952381,0.0031180728571428575,21.0,0.0536696948975937,33.050047214353164,,,,,,,
46,2017,3904,3,25.706582853483603,0.22643476536885246,123213.0,116063.0,7150.0,0.004149874761904762,0.0034558676190476188,21.0,0.05802959103341368,31.684968306915668,,,,,,,
46,2018,3822,3,25.77734179565672,0.2289376402407117,124999.0,117138.0,7861.0,0.0025198904761904763,0.0034113314285714284,21.0,0.06288850310802487,30.57624460995688,,,,,,,
46,2019,3667,3,25.719116328061084,0.2238887215707663,,,,,,,,,,,,,,,
46,2020,3581,3,25.807595879363305,0.2242387079028204,,,,,,,,,,,,,,,
46,2021,3687,3,25.922294695145105,0.23894777352861404,,,,,,,,,,,,,,,
46,2022,3760,3,26.067952229787235,0.24228738085106383,,,,,,,,,,,,,,,
46,2023,4006,3,26.2654769218672,0.25012469820269595,,,,,,,,,,,,,,,
46,2024,4061,3,26.551218589756218,0.2804725183452351,,,,,,,,,,,,,,,
47,2007,35916,12,24.05498924671456,0.16942329800089098,,,,,,,,,0.04189387,0.21700992333333335,0.0049996949999999984,0.0049996949999999984,3.0,0.026049146666666665,3.0
47,2008,34990,12,24.060031444841382,0.1700200883681052,,,,,,,,,0.02178466,0.21329239666666666,-0.003803425000000001,-0.003803425000000001,3.0,0.026735376666666668,3.0
47,2009,33469,12,24.0888284371508,0.17081472825599808,,,,,,,,,0.01520584,0.21584772666666666,0.03426457,0.03426457,3.0,0.04652333333333333,3.0
47,2010,32453,12,24.34428255390873,0.18078425507657228,1160214.0,1083861.6236553348,76352.37634466519,0.0005249269841269841,7.826285714285716e-05,63.0,0.06580887348770588,27.971563866665978,0.01513282,0.2509616433333333,-0.0033427400000000003,-0.0033427400000000003,3.0,0.05337921,3.0
47,2011,32400,12,24.538703619475307,0.1900001439506173,1164071.0,1084717.5916649972,79353.40833500285,0.0019430969841269842,0.0006486606349206349,63.0,0.06816887314863342,27.83335380745676,0.01575535,0.26113791000000003,0.169935995,0.169935995,3.0,0.04706626666666667,3.0
