case_name,policy_reference_blend_weight,k,status,iterations_completed,converged,looks_stable,residual_norm,max_abs_gap,max_abs_update,price_min,price_max,path_span,policy_reference_price_first_used,policy_reference_price_last_used,warm_start_source,elapsed_seconds
steady_state_blend_alpha_0_01,0.01,7,ok,1,1,1,6.68382385499583e-06,1.30782284428754e-05,1.45314187949275e-06,1.96034195050941,2.16815056575492,0.207808615245511,2.0000033601211,1.99960341950509,k_6_final_path_alpha_0.010,8.3579732
steady_state_blend_alpha_0_01,0.01,8,ok,15,1,1,4.99430493268065e-05,9.52616285720964e-05,1.05849189706575e-05,1.90817725795784,2.16815056655925,0.259973308601404,2.0000033601211,1.99908177257958,k_7_final_path_alpha_0.010,32.8282039
steady_state_blend_alpha_0_01,0.01,9,ok,25,0,1,5.87344175277365e-05,0.000115927004908478,1.28811978472587e-05,1.90808883498396,2.16815056675281,0.260061731768853,2.0000033601211,1.99977494889919,k_8_final_path_alpha_0.010,126.0715049
steady_state_blend_alpha_0_015,0.015,1,ok,1,1,1,0,0,0,2.00033601210982,2.00033601210982,0,2.00000504018165,2.00000504018165,anchor_prefix_alpha_0.015_transition_re_k_step_policy_bridge_steady_state_fixed_price_2_0_results.final_price_path,8.088139
steady_state_blend_alpha_0_015,0.015,2,ok,1,1,1,3.07657233022951e-11,6.42867981071049e-11,6.42863540178951e-12,2.00033601210982,2.08956545461135,0.0892294425015243,2.00000504018165,2.00134348181907,k_1_final_path_alpha_0.015,9.3360779
steady_state_blend_alpha_0_015,0.015,3,ok,1,1,1,7.91614345398992e-10,1.71528879988614e-09,1.71529013215377e-10,2.00033601210982,2.16815056522403,0.167814553114201,2.00000504018165,2.00252225847579,k_2_final_path_alpha_0.015,8.2288853
steady_state_blend_alpha_0_015,0.015,4,ok,1,1,1,1.0963675501783e-06,2.35801499126609e-06,2.62001825568348e-07,2.00033601210982,2.1681505653784,0.167814553268577,2.00000504018165,2.00226130716863,k_3_final_path_alpha_0.015,7.7747283
steady_state_blend_alpha_0_015,0.015,5,ok,1,1,1,1.58778174891263e-06,2.49444401489995e-06,2.77160637551788e-07,2.00033601210982,2.16815056551734,0.167814553407515,2.00000504018165,2.00007891309271,k_4_final_path_alpha_0.015,7.8281746
steady_state_blend_alpha_0_015,0.015,6,ok,1,1,1,1.63420824699242e-06,2.24499947387713e-06,2.49444541022825e-07,2.00033601210982,2.16815056564238,0.16781455353256,2.00000504018165,2.0005727270546,k_5_final_path_alpha_0.015,7.9049019
steady_state_blend_alpha_0_015,0.015,7,ok,1,1,1,8.32904360112428e-06,1.60711193089025e-05,1.78568805608847e-06,1.96034161796324,2.16815056575492,0.207808947791688,2.00000504018165,1.99940512426945,k_6_final_path_alpha_0.015,7.7229374
