series,period,year,price,log_dev,pct_dev
No-RE comparator,33,2033,8.96853840846416,-0.0019845694411432437,-0.19826014852735163
Bounded price expectations,34,2034,8.96487243893899,-0.0008411086395247509,-0.08407550068078029
No-RE comparator,34,2034,8.96853840846416,-0.0019845694411432437,-0.19826014852735163
Bounded price expectations,35,2035,8.96449852740101,-0.0008828180267347646,-0.08824284575486008
No-RE comparator,35,2035,8.96853840846416,-0.0019845694411432437,-0.19826014852735163
Bounded price expectations,36,2036,8.96412463145833,-0.0009245274139445451,-0.09241001701513207
No-RE comparator,36,2036,8.96853840846416,-0.0019845694411432437,-0.19826014852735163
Bounded price expectations,37,2037,8.96375075111029,-0.0009662368011547611,-0.09657701446891265
No-RE comparator,37,2037,8.96717613998542,-0.002136475123816676,-0.2134194485304275
Bounded price expectations,38,2038,8.96337688635625,-0.0010079461883643072,-0.10074383812334053
No-RE comparator,38,2038,8.96717613998542,-0.002136475123816676,-0.2134194485304275
Bounded price expectations,39,2039,8.96300303719556,-0.001049655575573525,-0.1049104879856988
No-RE comparator,39,2039,8.96717613998542,-0.002136475123816676,-0.2134194485304275
Bounded price expectations,40,2040,8.96262920362755,-0.0010913649627840932,-0.10907696406340373
No-RE comparator,40,2040,8.96717613998542,-0.002136475123816676,-0.2134194485304275
