Notes,State,State Code,Year,Year Code,Age of Mother 10,Age of Mother 10 Code,Births,pull_year
,West Virginia,54,2013,2013,25-29 years,25-29,2119,2013
,West Virginia,54,2013,2013,30-34 years,30-34,1057,2013
,West Virginia,54,2013,2013,35-39 years,35-39,333,2013
,West Virginia,54,2013,2013,40-44 years,40-44,50,2013
,Wisconsin,55,2013,2013,Under 15 years,15-,38,2013
,Wisconsin,55,2013,2013,15 - 17 years,15-17,873,2013
,Wisconsin,55,2013,2013,18 - 19 years,18-19,2266,2013
,Wisconsin,55,2013,2013,20-24 years,20-24,6981,2013
,Wisconsin,55,2013,2013,25-29 years,25-29,8028,2013
,Wisconsin,55,2013,2013,30-34 years,30-34,5225,2013
,Wisconsin,55,2013,2013,35-39 years,35-39,1463,2013
,Wisconsin,55,2013,2013,40-44 years,40-44,219,2013
,Wisconsin,55,2013,2013,45-49 years,45-49,18,2013
,Wyoming,56,2013,2013,15 - 17 years,15-17,138,2013
,Wyoming,56,2013,2013,18 - 19 years,18-19,334,2013
,Wyoming,56,2013,2013,20-24 years,20-24,1068,2013
,Wyoming,56,2013,2013,25-29 years,25-29,812,2013
,Wyoming,56,2013,2013,30-34 years,30-34,399,2013
,Wyoming,56,2013,2013,35-39 years,35-39,118,2013
,Wyoming,56,2013,2013,40-44 years,40-44,22,2013
---,,,,,,,,2013
"Dataset: Natality, 2007-2024",,,,,,,,2013
Query Parameters:,,,,,,,,2013
Live Birth Order: 1st child born alive to mother,,,,,,,,2013
Year: 2013,,,,,,,,2013
Group By: State; Year; Age of Mother 10,,,,,,,,2013
Show Totals: Disabled,,,,,,,,2013
Show Zero Values: False,,,,,,,,2013
Show Suppressed: False,,,,,,,,2013
"Calculate Rates Per: 1,000",,,,,,,,2013
Population Option: No populations shown because rates were not selected.,,,,,,,,2013
---,,,,,,,,2013
Help: See http://wonder.cdc.gov/wonder/help/natality.html for more information.,,,,,,,,2013
---,,,,,,,,2013
"Query Date: Mar 28, 2026 5:17:29 AM",,,,,,,,2013
---,,,,,,,,2013
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics",,,,,,,,2013
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2007-2024, as compiled from data provided by",,,,,,,,2013
the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at,,,,,,,,2013
"http://wonder.cdc.gov/natality-current.html on Mar 28, 2026 5:17:29 AM",,,,,,,,2013
---,,,,,,,,2013
Messages:,,,,,,,,2013
1. Totals are not available for these results due to suppression constraints. More Information:,,,,,,,,2013
